Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks*,82,19805,43.2,94.0,.459,6.6,18.9,.348,36.6,75.1,.488,19.2,24.1,.796,15.3,33.0,48.3,25.5,8.5,5.7,13.0,20.9,112.1
2,Sacramento Kings*,82,19780,40.6,87.8,.462,7.9,19.6,.401,32.7,68.2,.480,21.3,26.7,.795,11.6,32.6,44.2,28.1,9.3,4.3,14.9,20.7,110.3
3,Seattle SuperSonics,82,19805,39.6,88.8,.446,9.7,26.1,.373,29.9,62.7,.476,18.4,24.0,.765,12.2,31.2,43.5,24.0,8.9,5.2,16.0,24.0,107.3
4,Milwaukee Bucks*,82,19780,39.4,88.1,.447,5.3,15.2,.350,34.0,72.9,.467,22.5,29.0,.775,12.7,33.2,45.9,24.8,7.3,5.1,14.7,22.1,106.5
5,Minnesota Timberwolves*,82,19755,41.4,89.7,.462,4.5,12.2,.363,37.0,77.5,.477,18.6,23.8,.781,11.9,36.1,48.1,25.8,7.7,6.3,14.2,23.6,105.9
6,Los Angeles Lakers*,82,19855,39.7,87.4,.454,4.8,14.6,.327,34.9,72.8,.479,21.4,30.8,.693,13.1,33.2,46.3,25.5,8.9,5.0,14.8,22.7,105.5
7,Memphis Grizzlies*,82,19880,39.2,88.0,.445,5.9,17.4,.340,33.2,70.6,.471,20.6,28.3,.727,13.8,31.5,45.3,25.3,10.5,7.5,16.2,25.1,104.8
8,Denver Nuggets*,82,19730,39.0,88.1,.443,4.3,12.8,.336,34.7,75.3,.461,21.6,28.1,.767,14.1,31.1,45.2,23.4,9.7,6.8,16.7,23.5,103.9
9,Indiana Pacers*,82,19805,38.1,87.5,.435,6.2,17.7,.351,31.9,69.8,.457,21.3,27.9,.764,13.4,34.0,47.3,24.6,10.1,5.7,16.4,23.7,103.8
10,Portland Trail Blazers,82,19980,40.4,90.1,.448,5.3,15.4,.346,35.1,74.7,.469,17.6,24.1,.731,14.5,33.1,47.6,24.6,8.5,6.2,16.9,21.7,103.7
11,Los Angeles Clippers,82,19805,37.5,87.7,.428,4.4,13.6,.321,33.1,74.0,.448,24.1,30.7,.785,15.3,32.2,47.5,22.0,7.9,5.0,17.9,24.2,103.5
12,Golden State Warriors,82,19855,38.7,87.7,.442,5.8,17.3,.334,32.9,70.4,.468,19.8,27.3,.725,13.5,34.1,47.6,22.6,7.8,5.2,16.3,22.8,103.0
13,Orlando Magic,82,19830,38.7,90.2,.429,5.7,16.6,.344,33.0,73.5,.448,19.6,26.6,.737,13.4,31.3,44.7,21.1,7.3,4.1,15.0,23.2,102.7
14,New Orleans Hornets*,82,19830,37.7,89.7,.420,7.2,22.6,.319,30.4,67.1,.454,19.7,26.3,.751,14.8,32.8,47.7,23.3,9.6,4.7,16.7,23.3,102.3
15,Miami Heat*,82,19755,37.7,88.6,.425,6.7,18.7,.357,31.0,69.9,.443,20.2,26.5,.762,13.0,34.0,47.0,21.6,8.1,4.3,15.7,25.0,102.2
16,San Antonio Spurs*,82,19755,38.7,87.6,.442,5.6,15.5,.358,33.2,72.1,.460,19.2,28.2,.681,14.0,36.4,50.4,22.8,9.0,7.3,16.4,22.7,102.2
17,Boston Celtics*,82,19705,37.2,83.9,.443,7.2,20.9,.346,29.9,63.0,.475,20.5,27.4,.750,11.1,31.9,43.0,22.0,10.1,4.3,17.4,24.0,102.1
18,Detroit Pistons*,82,19780,37.9,87.2,.435,4.6,13.4,.344,33.3,73.8,.452,21.6,28.6,.753,14.0,34.4,48.4,23.5,9.1,7.9,17.1,23.0,102.0
19,Utah Jazz,82,19780,37.7,86.5,.436,3.5,11.0,.321,34.2,75.5,.453,23.0,30.8,.746,15.5,31.8,47.3,23.4,8.2,6.9,19.1,29.4,101.9
20,New York Knicks*,82,19880,38.9,87.8,.442,5.5,15.0,.364,33.4,72.8,.459,18.5,23.4,.793,12.8,34.3,47.1,22.9,8.2,5.3,17.4,25.6,101.7
21,Phoenix Suns,82,19730,38.8,87.6,.443,5.5,15.8,.345,33.4,71.8,.465,18.3,24.5,.746,12.1,31.6,43.7,20.8,9.6,5.0,16.4,24.5,101.4
22,Cleveland Cavaliers,82,19855,38.9,89.9,.433,3.3,10.5,.314,35.6,79.4,.448,20.3,27.0,.753,14.9,34.8,49.7,24.1,7.8,7.1,16.2,23.2,101.4
23,Atlanta Hawks,82,19905,37.6,86.7,.433,5.6,16.6,.335,32.0,70.1,.456,20.4,26.2,.776,13.2,33.3,46.5,21.9,8.3,5.4,17.9,24.2,101.0
24,Houston Rockets*,82,19930,37.5,84.9,.442,7.1,19.3,.366,30.5,65.7,.464,18.8,24.3,.773,11.6,36.3,47.9,21.7,7.7,6.1,18.8,24.2,100.9
25,New Jersey Nets*,82,19705,38.3,86.8,.441,5.1,15.3,.336,33.2,71.5,.464,19.0,25.3,.753,11.7,33.7,45.4,27.4,9.7,4.4,16.5,23.5,100.8
26,Philadelphia 76ers,82,19855,36.8,86.0,.428,4.7,13.6,.342,32.2,72.3,.445,20.8,27.6,.753,12.9,33.1,46.0,22.5,9.0,4.9,17.9,23.4,99.1
27,Washington Wizards,82,19830,36.2,86.0,.421,5.7,16.6,.341,30.5,69.4,.440,20.7,29.0,.714,14.6,31.4,46.0,20.2,9.6,5.3,18.9,22.5,98.8
28,Toronto Raptors,82,19980,36.7,87.9,.418,6.4,17.9,.356,30.4,70.0,.434,17.1,22.8,.750,11.5,33.5,45.0,21.8,8.4,5.6,16.1,24.2,97.0
29,Chicago Bulls,82,19830,36.7,88.7,.414,5.6,16.5,.342,31.1,72.2,.431,17.5,24.1,.725,13.8,33.1,46.8,23.5,8.7,5.2,17.3,25.1,96.6
