Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Houston Rockets,82,19830,38.6,85.6,.450,7.5,20.9,.358,31.1,64.7,.480,20.2,27.6,.733,13.0,33.2,46.2,22.8,7.9,5.6,18.3,21.4,104.8
15,Toronto Raptors*,82,19755,39.2,90.4,.433,5.6,15.4,.363,33.6,75.0,.447,20.8,27.2,.765,14.4,32.2,46.6,25.6,8.8,7.1,14.9,26.1,104.7
16,Phoenix Suns*,82,19805,39.9,87.3,.457,5.9,16.1,.368,34.0,71.2,.477,18.9,24.9,.759,13.2,33.0,46.1,27.0,9.6,5.6,17.6,25.4,104.6
17,Miami Heat*,82,19830,40.1,87.2,.460,6.0,16.2,.371,34.1,71.0,.481,18.2,24.7,.736,12.4,35.3,47.8,26.1,7.9,7.1,16.6,26.3,104.5
18,Charlotte Hornets*,82,19780,37.9,84.4,.449,4.4,12.9,.339,33.5,71.5,.469,24.1,31.8,.758,11.4,34.0,45.5,26.1,9.5,6.2,15.6,21.6,104.3
19,Denver Nuggets,82,19855,39.0,88.2,.442,6.0,17.8,.336,33.0,70.4,.469,19.5,27.0,.724,13.7,33.0,46.7,24.4,7.1,7.9,16.3,25.0,103.5
20,Washington Wizards,82,19805,39.3,87.3,.451,4.4,11.6,.376,35.0,75.7,.462,20.5,27.5,.743,13.9,31.9,45.8,23.1,7.7,5.0,17.2,28.1,103.5
21,New York Knicks*,82,19830,39.3,86.5,.455,4.8,12.7,.375,34.6,73.8,.468,19.1,24.5,.781,10.9,34.2,45.1,21.6,7.0,4.7,16.3,26.9,102.5
22,Orlando Magic,82,19755,39.6,87.6,.452,3.7,10.9,.338,35.9,76.7,.468,19.6,26.7,.735,14.3,31.7,46.0,21.3,9.3,5.8,18.0,24.6,102.4
23,Vancouver Grizzlies,82,19855,38.4,85.6,.449,4.3,11.9,.361,34.1,73.7,.463,21.2,27.4,.774,13.4,30.9,44.2,22.6,8.1,4.6,18.4,25.0,102.3
24,Atlanta Hawks,82,19830,39.6,89.8,.441,3.4,10.7,.317,36.2,79.1,.458,19.5,26.2,.743,15.1,33.9,49.0,20.4,6.6,6.1,16.7,22.7,102.0
25,Philadelphia 76ers*,82,19830,39.1,88.5,.442,2.7,8.4,.323,36.4,80.1,.454,20.6,29.1,.708,15.0,32.2,47.2,23.7,10.3,5.0,16.8,25.3,101.5
26,Cleveland Cavaliers,82,19855,37.6,85.1,.442,4.3,11.6,.373,33.3,73.4,.453,20.9,27.9,.750,12.8,31.6,44.3,24.5,9.0,4.6,18.0,28.0,100.4
27,Golden State Warriors,82,19755,38.1,90.9,.420,4.4,13.6,.323,33.8,77.3,.437,19.1,27.3,.697,16.6,31.0,47.6,23.6,9.3,4.5,16.6,26.0,99.8
28,Los Angeles Clippers,82,19705,37.3,87.6,.426,5.6,16.4,.339,31.7,71.2,.446,17.7,23.7,.746,12.4,30.8,43.2,19.2,7.5,6.4,17.2,23.6,97.8
29,Chicago Bulls,82,19805,34.8,83.7,.415,4.6,14.0,.329,30.1,69.7,.432,20.1,28.3,.709,14.0,31.5,45.5,22.3,8.8,5.2,21.1,25.8,94.2
