Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers*,82,19730,39.8,86.8,.459,7.6,19.4,.392,32.2,67.3,.478,21.3,26.2,.811,11.0,34.1,45.1,24.3,7.3,5.5,15.1,23.3,108.5
2,Milwaukee Bucks*,82,19855,41.4,89.0,.465,5.1,13.9,.369,36.2,75.0,.483,20.3,25.8,.786,13.2,30.9,44.2,24.1,8.7,5.0,16.0,26.3,108.2
3,Portland Trail Blazers*,82,19780,40.8,86.8,.470,5.5,15.2,.361,35.3,71.6,.493,20.8,27.4,.760,13.0,34.6,47.6,26.0,8.5,5.3,16.8,25.2,107.9
4,Utah Jazz*,82,19755,40.1,86.5,.464,4.5,11.6,.385,35.7,74.9,.476,22.5,29.1,.773,12.7,32.9,45.6,27.7,8.5,6.0,16.5,27.3,107.3
5,Detroit Pistons*,82,19830,38.5,83.9,.459,5.6,15.5,.359,33.0,68.5,.481,24.7,31.7,.781,11.6,31.1,42.7,21.6,8.4,3.5,16.3,25.4,107.3
6,Los Angeles Lakers*,82,19805,40.7,88.7,.459,4.5,13.6,.329,36.3,75.2,.482,21.4,30.7,.696,14.5,35.5,50.0,24.9,8.0,6.9,14.8,23.9,107.3
7,Dallas Mavericks,82,19730,40.9,90.3,.453,6.7,17.0,.391,34.3,73.3,.468,18.0,22.4,.804,11.9,31.3,43.3,23.2,7.6,5.3,14.4,22.7,106.6
8,Minnesota Timberwolves*,82,19905,42.4,90.8,.467,3.3,9.4,.346,39.1,81.4,.481,18.1,23.2,.780,13.3,32.5,45.8,29.0,8.2,5.8,15.0,25.1,106.1
9,Seattle SuperSonics*,82,19780,40.4,90.3,.447,7.1,20.9,.339,33.3,69.3,.480,17.7,25.5,.695,13.5,32.3,45.8,24.4,8.5,4.5,15.0,23.1,105.6
10,New Jersey Nets,82,19830,39.0,90.0,.433,6.2,18.0,.347,32.7,72.1,.454,20.9,26.7,.784,13.6,30.3,43.9,22.1,9.4,5.1,14.6,25.0,105.1
11,San Antonio Spurs*,82,19855,39.3,85.2,.462,4.4,11.7,.374,34.9,73.4,.476,22.0,29.5,.746,12.3,35.5,47.9,24.2,8.2,7.3,16.4,22.9,105.0
12,Sacramento Kings*,82,19805,40.0,89.0,.450,6.5,20.2,.322,33.5,68.7,.487,18.6,24.6,.754,12.9,32.2,45.0,23.8,9.6,4.7,16.2,21.1,105.0
13,Boston Celtics,82,19730,39.3,88.5,.444,5.4,16.2,.331,33.9,72.3,.469,20.8,28.0,.745,14.2,31.1,45.4,22.4,10.2,3.7,16.2,28.6,104.8
