Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks*,82,19780,41.4,91.5,.453,8.3,21.9,.381,33.1,69.7,.475,19.5,23.5,.829,12.0,33.4,45.3,24.1,8.7,5.9,12.4,22.7,110.7
2,Milwaukee Bucks*,82,19905,40.6,89.0,.457,7.8,20.4,.383,32.8,68.6,.478,19.8,25.5,.776,11.7,31.6,43.3,24.3,8.3,4.6,13.9,24.3,108.8
3,Golden State Warriors,82,19755,39.5,89.5,.441,5.5,15.9,.344,34.0,73.6,.462,23.9,30.7,.778,16.6,32.8,49.4,22.1,7.7,6.5,16.7,23.0,108.3
4,Los Angeles Lakers*,82,19930,40.3,89.3,.451,6.3,17.8,.356,33.9,71.5,.475,20.3,27.7,.734,14.0,33.3,47.3,24.9,8.3,6.1,15.5,24.4,107.2
5,Minnesota Timberwolves*,82,19805,41.8,89.7,.466,3.9,10.6,.368,37.9,79.2,.479,18.5,24.1,.770,12.6,34.5,47.1,27.3,7.3,5.7,14.8,22.5,106.1
6,Sacramento Kings*,82,19830,41.1,88.7,.464,6.2,16.3,.381,34.9,72.4,.482,17.3,23.2,.746,11.4,34.9,46.3,25.8,9.3,5.8,15.1,21.1,105.9
7,San Antonio Spurs*,82,19830,39.1,84.7,.462,6.0,17.1,.354,33.1,67.6,.489,21.4,29.5,.725,12.6,34.4,47.0,22.0,8.5,7.1,17.4,22.5,105.6
8,Utah Jazz*,82,19780,39.3,84.1,.468,3.0,8.7,.349,36.3,75.4,.481,23.8,31.9,.745,13.9,32.4,46.2,28.6,9.6,6.3,18.7,25.0,105.5
9,Portland Trail Blazers*,82,19855,40.4,87.8,.460,5.1,15.5,.330,35.3,72.2,.488,19.6,26.3,.745,13.4,32.2,45.6,25.1,9.8,4.3,16.9,22.1,105.5
10,Orlando Magic*,82,19805,38.4,88.0,.436,7.4,20.7,.357,31.0,67.3,.460,21.0,27.1,.777,12.5,31.1,43.6,21.8,9.1,3.9,15.3,24.6,105.2
11,Philadelphia 76ers*,82,19855,39.3,87.8,.448,3.2,10.4,.311,36.1,77.4,.466,23.1,29.8,.775,13.8,31.9,45.7,23.4,11.2,3.8,16.0,23.8,105.0
12,New York Knicks,82,19855,39.5,89.6,.441,8.1,21.1,.383,31.5,68.5,.459,17.6,21.6,.815,11.2,31.7,42.9,24.0,7.7,3.4,15.3,25.2,104.7
13,Indiana Pacers*,82,19905,38.3,87.0,.441,5.0,14.7,.339,33.3,72.3,.461,22.9,29.9,.766,13.2,34.5,47.7,25.2,9.2,5.8,15.9,23.8,104.6
14,Houston Rockets,82,19930,38.5,87.6,.440,6.0,17.2,.346,32.6,70.5,.462,21.3,27.7,.768,13.9,34.8,48.7,20.4,8.1,6.7,17.3,21.7,104.3
15,Detroit Pistons*,82,19905,37.5,87.2,.430,7.4,20.7,.358,30.1,66.5,.452,21.7,28.1,.771,12.3,34.0,46.2,22.5,7.7,6.5,15.3,24.3,104.1
16,Memphis Grizzlies,82,19930,39.6,87.6,.452,6.1,16.6,.365,33.5,71.0,.473,18.6,25.2,.739,12.3,32.0,44.3,24.6,8.5,6.5,16.4,21.8,103.9
17,New Orleans Hornets*,82,19905,39.3,90.3,.435,5.5,14.5,.376,33.9,75.8,.447,19.8,25.8,.768,14.8,33.4,48.2,24.4,8.9,5.3,16.4,23.9,103.9
18,New Jersey Nets*,82,19755,38.6,87.4,.441,4.6,13.8,.332,34.0,73.6,.462,22.1,29.1,.757,13.1,33.5,46.7,25.0,9.5,5.0,16.1,23.5,103.8
