Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19,Phoenix Suns*,82,19805,39.8,89.7,.443,5.2,15.2,.343,34.6,74.5,.464,18.9,25.5,.742,13.9,32.3,46.2,22.8,8.8,5.3,16.0,23.8,103.7
20,Seattle SuperSonics,82,19855,39.6,90.6,.437,6.3,17.7,.353,33.4,72.9,.458,18.2,24.4,.744,13.2,32.7,46.0,24.4,9.3,4.1,14.9,23.5,103.7
21,Washington Wizards,82,19830,38.7,87.8,.440,3.5,11.1,.312,35.2,76.6,.459,22.2,28.5,.779,12.6,32.9,45.5,22.1,8.5,5.4,15.0,22.6,103.0
22,Los Angeles Clippers,82,19755,37.7,86.3,.437,5.2,15.7,.331,32.5,70.7,.460,21.7,29.0,.750,13.4,32.7,46.2,21.3,7.6,6.1,17.2,23.7,102.3
23,Atlanta Hawks,82,19905,37.9,85.3,.444,5.3,15.1,.352,32.6,70.2,.464,21.1,26.7,.793,12.4,33.9,46.3,22.3,8.1,6.3,18.1,23.6,102.3
24,Boston Celtics*,82,19830,36.0,86.7,.415,9.6,28.7,.334,26.4,58.0,.455,19.7,26.6,.742,11.3,32.9,44.2,21.0,9.6,4.0,15.3,23.4,101.2
25,Toronto Raptors,82,19805,38.4,89.9,.427,5.5,16.1,.343,32.9,73.8,.446,18.2,25.3,.718,13.8,31.8,45.6,21.3,8.2,5.3,15.9,23.7,100.5
26,Chicago Bulls,82,19930,38.5,86.4,.445,4.5,12.8,.350,34.0,73.6,.462,18.7,25.9,.722,12.7,32.7,45.4,22.9,7.8,5.9,17.9,26.1,100.2
27,Miami Heat,82,19830,37.0,89.8,.412,4.8,15.2,.316,32.2,74.6,.432,17.8,23.3,.765,13.1,33.9,47.0,20.7,8.2,4.5,16.1,25.6,96.7
28,Cleveland Cavaliers,82,19830,36.7,86.9,.422,3.8,11.5,.327,32.9,75.3,.437,19.3,25.9,.747,14.4,32.7,47.1,22.0,8.2,6.7,19.3,24.0,96.5
29,Denver Nuggets,82,19730,35.9,87.5,.411,3.1,11.0,.278,32.9,76.4,.430,17.3,24.7,.699,14.9,31.6,46.4,23.2,9.5,5.6,20.2,27.5,92.2
