,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
1232,Manu Ginóbili*,SAS,SG,30,2299,Average,top,2007-2008,0.31980519480519476,116.0,100.0
1233,Ime Udoka,SAS,PF,30,1316,Average,top,2007-2008,0.1536796536796537,101.0,100.0
1234,Kurt Thomas,SAS,PF,36,1404,Average,Average,2008-2009,0.17951425554382264,115.0,101.0
1235,Bruce Bowen,SAS,SF,37,1506,Average,Average,2008-2009,0.06388595564941922,104.0,106.0
1236,Manu Ginóbili*,SAS,SG,32,2150,Average,Average,2009-2010,0.28791910590739744,118.0,104.0
1237,DeJuan Blair,SAS,PF,20,1494,Average,Average,2009-2010,0.21394358701436936,108.0,101.0
1238,George Hill,SAS,PG,24,2148,top,top,2010-2011,0.17204843592330982,116.0,108.0
1239,Gary Neal,SAS,SG,26,1685,top,top,2010-2011,0.1559031281533805,110.0,109.0
1240,Kawhi Leonard,SAS,SF,20,1534,top,top,2011-2012,0.19674556213017752,119.0,101.0
1241,Danny Green,SAS,SG,24,1522,top,top,2011-2012,0.17159763313609466,112.0,103.0
1242,Boris Diaw,SAS,PF,30,1709,top,top,2012-2013,0.14703018500486853,113.0,103.0
1243,Manu Ginóbili*,SAS,SG,35,1393,top,top,2012-2013,0.23369036027263881,107.0,100.0
1244,Marco Belinelli,SAS,SF,27,2016,top,top,2013-2014,0.18212397885631915,114.0,105.0
1245,Boris Diaw,SAS,PF,31,1974,top,top,2013-2014,0.17827967323402205,109.0,104.0
1246,Boris Diaw,SAS,PF,32,1984,Average,top,2014-2015,0.17168674698795183,103.0,105.0
1247,Manu Ginóbili*,SAS,SG,37,1587,Average,top,2014-2015,0.19929718875502014,103.0,102.0
1248,Patty Mills,SAS,PG,27,1662,top,top,2015-2016,0.1661252900232018,109.0,102.0
1249,David West,SAS,PF,35,1404,top,top,2015-2016,0.20603248259860787,114.0,98.0
1250,Patty Mills,SAS,PG,28,1754,top,top,2016-2017,0.18611378977820636,114.0,107.0
1251,Pau Gasol*,SAS,C,36,1627,top,top,2016-2017,0.2738669238187078,116.0,102.0
1252,Patty Mills,SAS,PG,29,2107,Average,Average,2017-2018,0.14583333333333331,109.0,109.0
1253,Bryn Forbes,SAS,SG,24,1517,Average,Average,2017-2018,0.10619918699186992,106.0,110.0
1254,Patty Mills,SAS,PG,30,1908,Average,Average,2018-2019,0.1609249646059462,112.0,114.0
1255,Marco Belinelli,SAS,SG,32,1815,Average,Average,2018-2019,0.147239263803681,109.0,114.0
1256,Derrick White,SAS,SG,25,1677,Average,Average,2019-2020,0.1980722891566266,118.0,114.0
1257,Rudy Gay,SAS,PF,33,1461,Average,Average,2019-2020,0.21445783132530127,107.0,113.0
1258,Patty Mills,SAS,PG,32,1685,Average,Average,2020-2021,0.1525590551181102,111.0,117.0
1259,Lonnie Walker IV,SAS,SG,22,1522,Average,Average,2020-2021,0.13238188976377951,100.0,116.0
1260,Devin Vassell,SAS,SF,21,1937,Average,Average,2021-2022,0.17476190476190476,109.0,112.0
1261,Lonnie Walker IV,SAS,SG,23,1612,Average,Average,2021-2022,0.16428571428571428,103.0,115.0
1262,Malaki Branham,SAS,SG,19,1550,bottom,bottom,2022-2023,0.14997350291467942,103.0,123.0
1263,Zach Collins,SAS,C,25,1441,bottom,bottom,2022-2023,0.23953365129835724,112.0,118.0
1264,Rashard Lewis,SEA,SF,20,1575,Average,Average,1999-2000,0.20416666666666675,108.0,104.0
1265,Vernon Maxwell,SEA,SG,34,989,Average,Average,1999-2000,0.12678571428571428,96.0,107.0
1266,Ruben Patterson,SEA,SF,25,2059,Average,Average,2000-2001,0.2226148409893993,107.0,105.0
1267,Vin Baker,SEA,PF,29,2129,Average,Average,2000-2001,0.12838633686690218,97.0,107.0
1268,Desmond Mason,SEA,SF,24,2420,Average,Average,2001-2002,0.16801292407108245,108.0,107.0
1269,Vladimir Radmanović,SEA,PF,21,1230,Average,Average,2001-2002,0.16101238556812072,101.0,103.0
1270,Vladimir Radmanović,SEA,PF,22,1910,Average,Average,2002-2003,0.17919422730006015,99.0,104.0
1271,Jerome James,SEA,C,27,766,Average,Average,2002-2003,0.11425135297654836,91.0,98.0
1272,Vladimir Radmanović,SEA,PF,23,2321,Average,Average,2003-2004,0.19577960140679954,106.0,108.0
1273,Ronald Murray,SEA,PG,24,2021,Average,Average,2003-2004,0.18347010550996484,98.0,109.0
1274,Antonio Daniels,SEA,PG,29,2026,Average,top,2004-2005,0.25914817036592686,124.0,113.0
1275,Vladimir Radmanović,SEA,PF,24,1856,Average,top,2004-2005,0.17756448710257944,110.0,109.0
1276,Damien Wilkins,SEA,SF,26,1525,Average,Average,2005-2006,0.15462085308056864,108.0,114.0
1277,Nick Collison,SEA,PF,25,1448,Average,Average,2005-2006,0.1676540284360189,112.0,114.0
1278,Earl Watson,SEA,PG,27,2152,Average,bottom,2006-2007,0.19019138755980866,101.0,111.0
1279,Damien Wilkins,SEA,SF,27,2037,Average,bottom,2006-2007,0.16267942583732056,106.0,111.0
1280,Nick Collison,SEA,PF,27,2223,bottom,bottom,2007-2008,0.23492462311557785,109.0,107.0
1281,Damien Wilkins,SEA,SF,28,1843,bottom,bottom,2007-2008,0.16080402010050251,98.0,111.0
1282,Tracy McGrady*,TOR,SF,20,2462,Average,Average,1999-2000,0.255242660275614,106.0,103.0
1283,Muggsy Bogues,TOR,PG,35,1731,Average,Average,1999-2000,0.18334331935290585,116.0,108.0
1284,Alvin Williams,TOR,SG,26,2394,Average,Average,2000-2001,0.1957134799774394,107.0,104.0
1285,Dell Curry,TOR,SG,36,956,Average,Average,2000-2001,0.17315284827975178,108.0,107.0
1286,Keon Clark,TOR,C,26,2185,Average,Average,2001-2002,0.232919254658385,102.0,99.0
1287,Jerome Williams,TOR,PF,28,1641,Average,Average,2001-2002,0.20745341614906837,113.0,102.0
1288,Voshon Lenard,TOR,SG,29,1929,bottom,bottom,2002-2003,0.19480519480519481,102.0,109.0
1289,Jelani McCoy,TOR,C,25,1367,bottom,bottom,2002-2003,0.18865345181134652,94.0,104.0
1290,Morris Peterson,TOR,SF,26,2148,Average,Average,2003-2004,0.17557251908396948,105.0,101.0
1291,Milt Palacio,TOR,PG,25,1211,Average,Average,2003-2004,0.12074947952810552,81.0,103.0
1292,Donyell Marshall,TOR,PF,31,1645,Average,Average,2004-2005,0.2889825406381698,120.0,105.0
1293,Matt Bonner,TOR,C,24,1553,Average,Average,2004-2005,0.17098133654425046,120.0,110.0
1294,Charlie Villanueva,TOR,PF,21,2361,Average,bottom,2005-2006,0.20858895705521469,107.0,111.0
1295,Matt Bonner,TOR,PF,25,1710,Average,bottom,2005-2006,0.16012269938650298,122.0,112.0
1296,José Calderón,TOR,PG,25,1614,Average,Average,2006-2007,0.2604108828428652,117.0,108.0
1297,Andrea Bargnani,TOR,PF,21,1629,Average,Average,2006-2007,0.1488062187673516,99.0,106.0
1298,Carlos Delfino,TOR,SG,25,1928,Average,Average,2007-2008,0.17080587937151545,107.0,106.0
1299,Rasho Nesterović,TOR,C,31,1486,Average,Average,2007-2008,0.19766852508869742,114.0,107.0
1300,Jason Kapono,TOR,SG,27,1831,Average,Average,2008-2009,0.11359912616056808,101.0,115.0
1301,Joey Graham,TOR,SF,26,1541,Average,Average,2008-2009,0.1430912069907155,106.0,111.0
1302,José Calderón,TOR,PG,28,1817,Average,Average,2009-2010,0.22759369907658886,119.0,116.0
1303,Amir Johnson,TOR,PF,22,1453,Average,Average,2009-2010,0.175991309071157,124.0,110.0
1304,Ed Davis,TOR,PF,21,1602,bottom,bottom,2010-2011,0.21317365269461086,120.0,110.0
1305,Leandro Barbosa,TOR,SG,28,1395,bottom,bottom,2010-2011,0.1982035928143713,105.0,115.0
1306,James Johnson,TOR,SF,24,1561,Average,Average,2011-2012,0.2011531069827033,97.0,100.0
1307,Ed Davis,TOR,PF,22,1534,Average,Average,2011-2012,0.22357463164638053,108.0,101.0
1308,Amir Johnson,TOR,PF,25,2325,Average,Average,2012-2013,0.22479240806642953,116.0,104.0
1309,Alan Anderson,TOR,SF,30,1495,Average,Average,2012-2013,0.15421115065243188,101.0,110.0
1310,Tyler Hansbrough,TOR,PF,28,978,Average,Average,2013-2014,0.1550028918449971,116.0,104.0
1311,Steve Novak,TOR,PF,30,540,Average,Average,2013-2014,0.13880855986119153,124.0,108.0
1312,Patrick Patterson,TOR,PF,25,2156,Average,Average,2014-2015,0.1919521479064709,122.0,108.0
1313,Lou Williams,TOR,SG,28,2016,Average,Average,2014-2015,0.23219140837411642,114.0,109.0
1314,Cory Joseph,TOR,SG,24,2046,top,top,2015-2016,0.15933476394849783,106.0,108.0
1315,Patrick Patterson,TOR,PF,26,2020,top,top,2015-2016,0.14270386266094415,108.0,107.0
1316,Cory Joseph,TOR,PG,25,2003,Average,Average,2016-2017,0.17501317870321562,108.0,110.0
1317,Patrick Patterson,TOR,PF,27,1599,Average,Average,2016-2017,0.14391143911439117,115.0,109.0
1318,Pascal Siakam,TOR,PF,23,1679,top,top,2017-2018,0.18489455615497802,113.0,105.0
1319,Fred VanVleet,TOR,PG,23,1520,top,top,2017-2018,0.19519372241294755,115.0,106.0
1320,Fred VanVleet,TOR,PG,24,1760,top,top,2018-2019,0.17695274831243976,114.0,110.0
1321,OG Anunoby,TOR,SF,21,1352,top,top,2018-2019,0.10270009643201543,104.0,109.0
1322,Serge Ibaka,TOR,C,30,1485,top,top,2019-2020,0.24008036162732302,108.0,104.0
1323,Norman Powell,TOR,SG,26,1479,top,top,2019-2020,0.21145153189352092,115.0,106.0
1324,Chris Boucher,TOR,C,28,1453,Average,Average,2020-2021,0.27361899845121324,127.0,109.0
1325,DeAndre' Bembry,TOR,SF,26,972,Average,Average,2020-2021,0.15332989158492513,104.0,111.0
1326,Chris Boucher,TOR,SF,29,1690,Average,Average,2021-2022,0.21410057024364956,124.0,108.0
1327,Precious Achiuwa,TOR,C,22,1725,Average,Average,2021-2022,0.1741835147744946,105.0,110.0
1328,Chris Boucher,TOR,PF,30,1523,Average,Average,2022-2023,0.21467257508616444,125.0,112.0
1329,Precious Achiuwa,TOR,C,23,1140,Average,Average,2022-2023,0.20285573609059568,112.0,113.0
1330,Howard Eisley,UTA,PG,27,2096,Average,Average,1999-2000,0.1472737492973581,101.0,106.0
1331,Greg Ostertag,UTA,C,26,1606,Average,Average,1999-2000,0.15064643057897695,105.0,97.0
1332,Jacque Vaughn,UTA,PG,25,1620,Average,Average,2000-2001,0.17877412031782067,105.0,106.0
1333,Greg Ostertag,UTA,C,27,1491,Average,Average,2000-2001,0.13166855845629968,106.0,99.0
1334,Andrei Kirilenko,UTA,SF,20,2151,Average,Average,2001-2002,0.22910578609000584,113.0,100.0
1335,Bryon Russell,UTA,SG,31,1998,Average,Average,2001-2002,0.12390414962010518,100.0,107.0
1336,Andrei Kirilenko,UTA,SF,21,2213,Average,Average,2002-2003,0.25390624999999983,116.0,98.0
1337,Mark Jackson,UTA,PG,37,1467,Average,Average,2002-2003,0.19698660714285704,95.0,105.0
1338,Raja Bell,UTA,SG,27,2020,Average,Average,2003-2004,0.1540616246498598,103.0,105.0
1339,Jarron Collins,UTA,C,25,1732,Average,Average,2003-2004,0.13235294117647062,115.0,106.0
1340,Mehmet Okur,UTA,C,25,2304,Average,Average,2004-2005,0.30944407233757537,115.0,108.0
1341,Raja Bell,UTA,SG,28,1790,Average,Average,2004-2005,0.1627595445411922,105.0,112.0
1342,Matt Harpring,UTA,SF,29,1944,Average,Average,2005-2006,0.21582733812949625,110.0,108.0
1343,Devin Brown,UTA,SG,27,1711,Average,Average,2005-2006,0.1275343361674296,100.0,110.0
1344,Matt Harpring,UTA,SF,30,1965,Average,Average,2006-2007,0.17750141322781232,111.0,108.0
1345,Paul Millsap,UTA,PF,21,1472,Average,Average,2006-2007,0.18824194460146973,112.0,102.0
1346,Paul Millsap,UTA,PF,22,1702,Average,Average,2007-2008,0.1690918213748118,112.0,103.0
1347,Matt Harpring,UTA,SF,31,1374,Average,Average,2007-2008,0.14801806322127442,107.0,108.0
1348,Paul Millsap,UTA,PF,23,2290,Average,Average,2008-2009,0.2255319148936171,116.0,105.0
1349,Andrei Kirilenko,UTA,PF,27,1831,Average,Average,2008-2009,0.2148936170212766,109.0,105.0
1350,Paul Millsap,UTA,PF,24,2277,Average,Average,2009-2010,0.19400711020822745,113.0,103.0
1351,Andrei Kirilenko,UTA,SF,28,1681,Average,Average,2009-2010,0.2188928390045708,117.0,103.0
1352,C.J. Miles,UTA,SF,23,1969,Average,Average,2010-2011,0.1735211267605634,103.0,110.0
1353,Earl Watson,UTA,PG,31,1567,Average,Average,2010-2011,0.14366197183098592,100.0,112.0
1354,Derrick Favors,UTA,PF,20,1376,Average,Average,2011-2012,0.2108535895986432,104.0,103.0
1355,C.J. Miles,UTA,SG,24,1145,Average,Average,2011-2012,0.12775579423403044,101.0,108.0
1356,Gordon Hayward,UTA,SF,22,2104,Average,Average,2012-2013,0.2179271708683474,113.0,110.0
1357,Derrick Favors,UTA,PF,21,1787,Average,Average,2012-2013,0.21064425770308123,104.0,101.0
1358,Alec Burks,UTA,SG,22,2193,Average,Average,2013-2014,0.21309450277949363,106.0,113.0
1359,Enes Freedom,UTA,C,21,2138,Average,Average,2013-2014,0.22297714638665853,102.0,112.0
1360,Rudy Gobert,UTA,C,22,2158,Average,Average,2014-2015,0.2947610823258492,122.0,98.0
1361,Joe Ingles,UTA,SF,27,1673,Average,Average,2014-2015,0.14162348877374786,101.0,106.0
1362,Trevor Booker,UTA,PF,28,1632,Average,Average,2015-2016,0.19221835075493607,109.0,102.0
1363,Trey Lyles,UTA,PF,20,1382,Average,Average,2015-2016,0.1800232288037166,102.0,105.0
1364,Joe Ingles,UTA,SF,29,1972,Average,Average,2016-2017,0.17277486910994766,112.0,105.0
1365,Joe Johnson,UTA,SF,35,1843,Average,Average,2016-2017,0.17905759162303664,109.0,108.0
1366,Naz Mitrou-Long,UTA,SG,24,1,Average,Average,2017-2018,1.5577421025375455,300.0,113.0
1367,Royce O'Neale,UTA,SF,24,1150,Average,Average,2017-2018,0.16571724495080267,105.0,104.0
1368,Jae Crowder,UTA,SF,28,2166,Average,Average,2018-2019,0.15828770532603284,107.0,107.0
1369,Royce O'Neale,UTA,SF,25,1671,Average,Average,2018-2019,0.13091090094574417,108.0,106.0
1370,Georges Niang,UTA,PF,26,923,Average,Average,2019-2020,0.15356959424756034,113.0,112.0
1371,Emmanuel Mudiay,UTA,PG,23,850,Average,Average,2019-2020,0.18284540318438627,103.0,111.0
1372,Joe Ingles,UTA,SF,33,1867,Average,Average,2020-2021,0.2085048010973937,129.0,111.0
1373,Jordan Clarkson,UTA,SG,28,1818,Average,Average,2020-2021,0.21490626428898038,109.0,110.0
1374,Jordan Clarkson,UTA,SG,29,2141,Average,Average,2021-2022,0.17970602181128492,108.0,113.0
1375,Hassan Whiteside,UTA,C,32,1162,Average,Average,2021-2022,0.2555713608345186,132.0,104.0
1376,Walker Kessler,UTA,C,21,1703,Average,Average,2022-2023,0.2589154860771861,140.0,111.0
1377,Talen Horton-Tucker,UTA,SG,22,1313,Average,Average,2022-2023,0.19736199316072311,104.0,117.0
1378,Dennis Scott,VAN,SF,31,1263,bottom,bottom,1999-2000,0.1202365308804205,109.0,112.0
1379,Grant Long,VAN,PF,33,920,bottom,bottom,1999-2000,0.16622864651773986,103.0,105.0
1380,Grant Long,VAN,PF,34,1507,bottom,bottom,2000-2001,0.15291878172588827,103.0,104.0
1381,Damon Jones,VAN,PG,24,1415,bottom,bottom,2000-2001,0.20939086294416234,104.0,109.0
1382,Tracy Murray,WAS,SF,28,1831,Average,bottom,1999-2000,0.19309887193098874,110.0,108.0
1383,Chris Whitney,WAS,PG,28,1627,Average,bottom,1999-2000,0.22694094226940942,113.0,109.0
1384,Michael Smith,WAS,PF,28,1610,bottom,bottom,2000-2001,0.24519230769230776,113.0,103.0
1385,Chris Whitney,WAS,PG,29,1532,bottom,bottom,2000-2001,0.1916208791208791,107.0,110.0
1386,Popeye Jones,WAS,PF,31,1920,Average,Average,2001-2002,0.2039951573849879,108.0,105.0
1387,Tyrone Nesby,WAS,SF,26,1498,Average,Average,2001-2002,0.17070217917675545,105.0,104.0
1388,Tyronn Lue,WAS,PG,25,1986,Average,Average,2002-2003,0.17575757575757583,109.0,108.0
1389,Kwame Brown,WAS,C,20,1773,Average,Average,2002-2003,0.18060606060606063,96.0,102.0
1390,Etan Thomas,WAS,C,25,1901,bottom,bottom,2003-2004,0.2327892122072392,106.0,102.0
1391,Jared Jeffries,WAS,PF,22,1913,bottom,bottom,2003-2004,0.1043293115684882,91.0,106.0
1392,Jarvis Hayes,WAS,SF,23,1560,Average,Average,2004-2005,0.16207759699624533,101.0,109.0
1393,Michael Ruffin,WAS,C,28,1262,Average,Average,2004-2005,0.08197747183979975,109.0,106.0
1394,Antonio Daniels,WAS,SG,30,2283,Average,Average,2005-2006,0.1985383678440925,118.0,111.0
1395,Etan Thomas,WAS,C,27,1121,Average,Average,2005-2006,0.15225334957369058,110.0,105.0
1396,Antonio Daniels,WAS,SG,31,1761,Average,Average,2006-2007,0.2163742690058479,123.0,114.0
1397,Jarvis Hayes,WAS,SF,25,1626,Average,Average,2006-2007,0.13157894736842093,104.0,112.0
1398,Roger Mason,WAS,PG,27,1708,Average,Average,2007-2008,0.1686274509803921,114.0,113.0
1399,Andray Blatche,WAS,PF,21,1675,Average,Average,2007-2008,0.16582633053221277,103.0,105.0
1400,Nick Young,WAS,SG,23,1837,bottom,bottom,2008-2009,0.16958358479179245,105.0,117.0
1401,Andray Blatche,WAS,C,22,1703,bottom,bottom,2008-2009,0.1979480989740494,101.0,111.0
1402,Andray Blatche,WAS,PF,23,2256,bottom,bottom,2009-2010,0.2572692793931733,101.0,106.0
1403,Randy Foye,WAS,PG,26,1667,bottom,bottom,2009-2010,0.19595448798988627,106.0,113.0
1404,Nick Young,WAS,SG,25,2034,bottom,bottom,2010-2011,0.20118733509234832,107.0,114.0
1405,Trevor Booker,WAS,PF,23,1063,bottom,bottom,2010-2011,0.21306068601583117,118.0,109.0
1406,Jordan Crawford,WAS,SG,23,1753,bottom,bottom,2011-2012,0.1998693664271718,97.0,110.0
1407,Trevor Booker,WAS,PF,24,1261,bottom,bottom,2011-2012,0.2148922273024168,109.0,104.0
1408,Kevin Séraphin,WAS,C,23,1721,Average,Average,2012-2013,0.13673088875077688,89.0,104.0
1409,Trevor Ariza,WAS,SF,27,1471,Average,Average,2012-2013,0.235550031075202,102.0,101.0
1410,Martell Webster,WAS,SF,27,2157,Average,Average,2013-2014,0.1461366181410974,116.0,108.0
1411,Nenê,WAS,PF,31,1560,Average,Average,2013-2014,0.2110862262038073,102.0,103.0
1412,Rasual Butler,WAS,SF,35,1505,Average,Average,2014-2015,0.15282392026578076,104.0,105.0
1413,Kris Humphries,WAS,PF,29,1345,Average,Average,2014-2015,0.2220376522702104,108.0,101.0
1414,Bradley Beal,WAS,SG,22,1708,Average,Average,2015-2016,0.20211581291759462,103.0,108.0
1415,Ramon Sessions,WAS,PG,29,1667,Average,Average,2015-2016,0.22383073496659237,109.0,109.0
1416,Kelly Oubre Jr.,WAS,SF,21,1605,Average,Average,2016-2017,0.10087493566649512,104.0,110.0
1417,Jason Smith,WAS,C,30,1068,Average,Average,2016-2017,0.15800308800823468,110.0,108.0
1418,Kelly Oubre Jr.,WAS,SF,22,2231,Average,Average,2017-2018,0.15091383812010434,106.0,109.0
1419,Tomáš Satoranský,WAS,SG,26,1643,Average,Average,2017-2018,0.20522193211488246,124.0,111.0
1420,John Wall,WAS,PG,28,1104,Average,bottom,2018-2019,0.24602767811378787,104.0,114.0
1421,Troy Brown Jr.,WAS,SF,19,730,Average,bottom,2018-2019,0.16196822142491032,105.0,115.0
1422,Ish Smith,WAS,PG,31,1787,Average,Average,2019-2020,0.21115322144017323,108.0,117.0
1423,Troy Brown Jr.,WAS,SF,20,1782,Average,Average,2019-2020,0.2111532214401732,109.0,114.0
1424,Dāvis Bertāns,WAS,PF,28,1464,Average,Average,2020-2021,0.13867488443759637,120.0,116.0
1425,Raul Neto,WAS,PG,28,1403,Average,Average,2020-2021,0.1730868002054443,115.0,113.0
1426,Deni Avdija,WAS,SF,21,1984,Average,Average,2021-2022,0.1718518518518519,106.0,113.0
1427,Corey Kispert,WAS,SF,22,1801,Average,Average,2021-2022,0.1397530864197531,114.0,118.0
1428,Deni Avdija,WAS,SF,22,2020,Average,Average,2022-2023,0.1683262209577999,106.0,114.0
1429,Delon Wright,WAS,PG,30,1221,Average,Average,2022-2023,0.20768136557610242,127.0,112.0
