,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
1032,John Salmons,PHI,SG,24,1603,Average,Average,2003-2004,0.1593625498007969,98.0,103.0
1033,Derrick Coleman,PHI,C,36,843,Average,Average,2003-2004,0.18725099601593626,91.0,100.0
1034,Marc Jackson,PHI,C,30,1976,Average,Average,2004-2005,0.206811145510836,108.0,108.0
1035,Aaron McKie,PHI,SG,32,1118,Average,Average,2004-2005,0.13808049535603714,107.0,104.0
1036,John Salmons,PHI,SG,26,2059,Average,Average,2005-2006,0.13831665685697464,100.0,110.0
1037,Steven Hunter,PHI,C,24,1312,Average,Average,2005-2006,0.15832842848734546,111.0,109.0
1038,Kyle Korver,PHI,SF,25,2288,Average,Average,2006-2007,0.1955990220048899,109.0,109.0
1039,Willie Green,PHI,SG,25,1842,Average,Average,2006-2007,0.12286063569682167,91.0,110.0
1040,Lou Williams,PHI,PG,21,1862,Average,Average,2007-2008,0.21731551423590928,108.0,108.0
1041,Thaddeus Young,PHI,PF,19,1554,Average,Average,2007-2008,0.22080185938407895,115.0,106.0
1042,Lou Williams,PHI,SG,22,1919,Average,Average,2008-2009,0.20780711825487938,105.0,109.0
1043,Marreese Speights,PHI,C,21,1263,Average,Average,2008-2009,0.20321469575200912,115.0,107.0
1044,Lou Williams,PHI,PG,23,1912,Average,bottom,2009-2010,0.2538681948424068,116.0,112.0
1045,Willie Green,PHI,SG,28,1553,Average,bottom,2009-2010,0.1667621776504298,109.0,114.0
1046,Thaddeus Young,PHI,PF,22,2135,Average,Average,2010-2011,0.23122636412749864,110.0,104.0
1047,Lou Williams,PHI,SG,24,1747,Average,Average,2010-2011,0.2285251215559157,111.0,108.0
1048,Thaddeus Young,PHI,PF,23,1755,Average,Average,2011-2012,0.21729845168179399,111.0,100.0
1049,Lou Williams,PHI,PG,25,1682,Average,Average,2011-2012,0.23598505072076886,110.0,102.0
1050,Spencer Hawes,PHI,C,24,2233,Average,Average,2012-2013,0.2295652173913043,103.0,104.0
1051,Dorell Wright,PHI,SF,27,1783,Average,Average,2012-2013,0.23652173913043484,112.0,105.0
1052,Tony Wroten,PHI,PG,20,1765,bottom,bottom,2013-2014,0.1871621621621622,92.0,111.0
1053,Elliot Williams,PHI,SG,24,1157,bottom,bottom,2013-2014,0.11621621621621618,98.0,113.0
1054,Hollis Thompson,PHI,SG,23,1776,bottom,bottom,2014-2015,0.16496350364963513,105.0,108.0
1055,Henry Sims,PHI,C,24,1399,bottom,bottom,2014-2015,0.2554744525547446,100.0,105.0
1056,Hollis Thompson,PHI,SG,24,2154,bottom,bottom,2015-2016,0.13542361574382922,101.0,113.0
1057,Isaiah Canaan,PHI,SG,24,1966,bottom,bottom,2015-2016,0.16277518345563705,102.0,113.0
1058,Dario Šarić,PHI,PF,22,2129,bottom,bottom,2016-2017,0.22084073416222627,96.0,109.0
1059,Nik Stauskas,PHI,SG,23,2188,bottom,bottom,2016-2017,0.14209591474245117,100.0,112.0
1060,T.J. McConnell,PHI,PG,25,1706,Average,top,2017-2018,0.17871485943775103,109.0,105.0
1061,Amir Johnson,PHI,C,30,1171,Average,top,2017-2018,0.16114457831325302,121.0,103.0
1062,T.J. McConnell,PHI,PG,26,1470,Average,Average,2018-2019,0.1815533980582525,110.0,110.0
1063,Furkan Korkmaz,PHI,SG,21,679,Average,Average,2018-2019,0.14660194174757285,108.0,110.0
1064,Furkan Korkmaz,PHI,SG,22,1559,Average,Average,2019-2020,0.15281234444997513,111.0,112.0
1065,Matisse Thybulle,PHI,SG,22,1287,Average,Average,2019-2020,0.08511697361871579,105.0,106.0
1066,Shake Milton,PHI,SG,24,1461,top,top,2020-2021,0.1799224054316198,109.0,112.0
1067,Dwight Howard,PHI,C,35,1196,top,top,2020-2021,0.2201745877788555,113.0,102.0
1068,Georges Niang,PHI,PF,28,1736,Average,Average,2021-2022,0.12530004800768127,113.0,115.0
1069,Furkan Korkmaz,PHI,SG,24,1414,Average,Average,2021-2022,0.14546327412385981,104.0,114.0
1070,Shake Milton,PHI,SG,26,1567,top,top,2022-2023,0.1693660342434058,115.0,117.0
1071,Georges Niang,PHI,PF,29,1512,top,top,2022-2023,0.1337343822304488,114.0,116.0
1072,Rodney Rogers,PHO,PF,28,2286,Average,top,1999-2000,0.2047018348623853,107.0,99.0
1073,Shawn Marion,PHO,SF,21,1260,Average,top,1999-2000,0.23509174311926592,107.0,97.0
1074,Tony Delk,PHO,SG,27,2288,Average,Average,2000-2001,0.16914498141263948,100.0,101.0
1075,Rodney Rogers,PHO,SF,29,2183,Average,Average,2000-2001,0.18401486988847596,98.0,98.0
1076,Dan Majerle,PHO,SG,36,1180,Average,Average,2001-2002,0.13940856970428486,105.0,104.0
1077,Tom Gugliotta,PHO,PF,32,1129,Average,Average,2001-2002,0.13940856970428486,92.0,103.0
1078,Joe Johnson,PHO,SG,21,2255,Average,Average,2002-2003,0.16007416563658833,99.0,105.0
1079,Bo Outlaw,PHO,C,31,1800,Average,Average,2002-2003,0.1582200247218789,113.0,102.0
1080,Casey Jacobsen,PHO,SF,22,1828,Average,bottom,2003-2004,0.13477975016436558,110.0,109.0
1081,Žarko Čabarkapa,PHO,PF,22,570,Average,bottom,2003-2004,0.09993425378040764,85.0,107.0
1082,Leandro Barbosa,PHO,PG,22,1087,top,top,2004-2005,0.13589364844903987,107.0,110.0
1083,Steven Hunter,PHO,C,23,1046,top,top,2004-2005,0.11718365337272282,116.0,107.0
1084,James Jones,PHO,SF,25,1772,top,top,2005-2006,0.14540059347181014,112.0,107.0
1085,Leandro Barbosa,PHO,SG,23,1592,top,top,2005-2006,0.16320474777448074,111.0,108.0
1086,Leandro Barbosa,PHO,SG,24,2613,top,top,2006-2007,0.20347994200096653,115.0,108.0
1087,James Jones,PHO,SF,26,1376,top,top,2006-2007,0.10778153697438377,106.0,108.0
1088,Leandro Barbosa,PHO,SG,25,2421,Average,Average,2007-2008,0.1732134406057738,111.0,111.0
1089,Boris Diaw,PHO,PF,25,2308,Average,Average,2007-2008,0.15380974917179366,103.0,109.0
1090,Matt Barnes,PHO,PF,28,2082,Average,Average,2008-2009,0.16505840528186888,107.0,111.0
1091,Leandro Barbosa,PHO,SG,26,1705,Average,Average,2008-2009,0.23158963941086846,117.0,112.0
1092,Jared Dudley,PHO,SF,24,1991,Average,top,2009-2010,0.14528207688467298,124.0,111.0
1093,Goran Dragić,PHO,PG,23,1442,Average,top,2009-2010,0.1787319021467798,110.0,112.0
1094,Jared Dudley,PHO,SF,25,2140,Average,Average,2010-2011,0.18977705274605772,119.0,111.0
1095,Hakim Warrick,PHO,PF,28,1416,Average,Average,2010-2011,0.2137030995106036,113.0,111.0
1096,Shannon Brown,PHO,SG,26,1400,Average,Average,2011-2012,0.1702598120508569,101.0,108.0
1097,Markieff Morris,PHO,PF,22,1227,Average,Average,2011-2012,0.13653952459922608,97.0,104.0
1098,Markieff Morris,PHO,PF,23,1837,bottom,bottom,2012-2013,0.16666666666666666,96.0,106.0
