Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Tariq Abdul-Wahad,SG,27,TOT,24,12,441,6.6,17.7,.374,0.1,0.2,.500,6.5,17.4,.372,2.9,4.0,.727,4.9,5.2,10.1,2.9,2.4,1.2,3.2,6.7,16.2,,90,107,abdulta01
1,Tariq Abdul-Wahad,SG,27,DEN,20,12,417,7.0,18.5,.379,0.1,0.3,.500,6.9,18.2,.378,3.1,4.1,.750,5.0,5.0,9.9,2.8,2.3,1.1,3.1,6.5,17.2,,92,108,abdulta01
1,Tariq Abdul-Wahad,SG,27,DAL,4,0,24,0.0,4.3,.000,0.0,0.0,,0.0,4.3,.000,0.0,2.2,.000,4.3,8.6,12.9,4.3,4.3,2.2,6.5,10.8,0.0,,41,99,abdulta01
2,Shareef Abdur-Rahim,PF,25,ATL,77,77,2980,10.5,22.7,.461,0.4,1.2,.300,10.1,21.5,.470,7.3,9.2,.801,3.5,8.7,12.2,4.2,1.7,1.4,4.4,3.8,28.7,,105,105,abdursh01
3,Courtney Alexander,SG,24,WAS,56,28,1325,9.1,19.4,.470,0.2,0.7,.278,8.9,18.7,.478,4.0,5.0,.810,1.8,4.3,6.1,3.5,1.4,0.3,2.5,4.6,22.5,,106,109,alexaco02
4,Victor Alexander,C,32,DET,15,0,97,9.9,28.0,.353,0.0,1.1,.000,9.9,26.9,.367,2.2,4.4,.500,3.8,12.1,15.9,3.3,0.0,0.5,2.7,3.3,22.0,,80,103,alexavi01
5,Malik Allen,PF,23,MIA,12,2,161,7.5,17.4,.431,0.0,0.3,.000,7.5,17.1,.440,2.7,3.4,.800,5.1,7.8,13.0,1.7,1.0,2.7,0.7,5.5,17.7,,108,99,allenma01
6,Ray Allen*,SG,26,MIL,69,67,2525,11.2,24.2,.462,4.8,11.1,.434,6.3,13.1,.485,4.5,5.2,.873,1.7,4.9,6.6,5.7,1.9,0.4,3.4,3.3,31.7,,116,109,allenra02
7,Rafer Alston,PG,25,MIL,50,7,600,5.9,16.9,.346,2.4,6.3,.380,3.5,10.6,.325,1.6,2.6,.621,0.9,5.5,6.4,12.7,2.8,0.2,3.5,3.7,15.7,,99,106,alstora01
8,John Amaechi,PF,31,UTA,54,0,586,4.9,15.1,.325,0.0,0.0,,4.9,15.1,.325,6.1,9.5,.638,4.7,5.2,9.9,2.6,0.6,0.9,5.0,5.8,15.9,,83,109,amaecjo01
9,Chris Andersen,C,23,DEN,24,1,262,5.1,15.0,.338,0.0,0.8,.000,5.1,14.2,.357,4.5,5.7,.786,7.7,7.7,15.4,1.4,1.4,5.7,2.6,7.1,14.6,,96,103,anderch01
