Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Shareef Abdur-Rahim,PF,29,SAC,72,30,1961,8.8,16.8,.525,0.1,0.6,.227,8.7,16.2,.536,5.8,7.4,.784,2.8,6.7,9.5,4.0,1.3,1.1,2.9,6.0,23.6,,115,105,abdursh01
2,Alex Acker,SG,23,DET,5,0,35,6.3,25.3,.250,1.6,7.9,.200,4.7,17.4,.273,0.0,0.0,,1.6,6.3,7.9,6.3,1.6,0.0,6.3,6.3,14.2,,61,105,ackeral01
3,Malik Allen,PF,27,CHI,54,20,701,8.9,18.2,.490,0.1,0.1,1.000,8.8,18.1,.488,1.7,2.8,.605,3.2,7.1,10.3,1.5,1.0,1.2,2.5,6.8,19.6,,98,104,allenma01
4,Ray Allen*,SG,30,SEA,78,78,3022,11.8,26.0,.454,4.7,11.3,.412,7.1,14.7,.486,5.6,6.2,.903,1.2,4.5,5.8,5.0,1.8,0.3,3.3,2.6,33.9,,118,116,allenra02
5,Tony Allen,PG,24,BOS,51,9,978,6.9,14.6,.471,0.6,1.8,.324,6.3,12.8,.492,5.3,7.1,.746,1.7,4.2,5.9,3.6,2.7,1.0,3.6,6.7,19.6,,103,106,allento01
6,Rafer Alston,PG,29,HOU,63,63,2431,6.3,16.6,.379,2.3,7.0,.327,4.0,9.6,.418,2.2,3.2,.692,0.8,4.9,5.7,9.5,2.3,0.3,3.5,4.4,17.1,,99,104,alstora01
7,Chris Andersen,C,27,NOK,32,2,570,5.3,9.3,.571,0.0,0.0,,5.3,9.3,.571,4.6,9.8,.476,5.8,8.9,14.7,0.6,0.8,3.9,2.5,8.0,15.2,,109,104,anderch01
8,Alan Anderson,SF,23,CHA,36,7,564,6.8,16.5,.414,2.2,5.3,.414,4.6,11.2,.415,3.0,3.7,.805,2.1,4.3,6.4,2.9,1.0,0.4,2.9,4.4,18.9,,101,111,anderal01
9,Derek Anderson,SG,31,TOT,43,11,1047,5.5,15.5,.356,2.0,6.9,.299,3.5,8.6,.402,4.8,5.7,.838,1.1,6.2,7.3,5.2,1.2,0.3,2.8,5.0,17.9,,102,106,anderde01
9,Derek Anderson,SG,31,HOU,20,8,582,6.4,16.2,.393,1.8,6.3,.284,4.6,9.9,.462,5.7,6.8,.836,1.1,6.7,7.8,5.0,1.4,0.4,3.5,4.6,20.2,,102,105,anderde01
9,Derek Anderson,SG,31,MIA,23,3,465,4.5,14.7,.308,2.4,7.6,.313,2.1,7.1,.302,3.6,4.3,.842,1.0,5.7,6.8,5.4,0.9,0.2,1.9,5.5,15.0,,102,107,anderde01
10,Shandon Anderson,SF,32,MIA,48,1,638,4.4,10.4,.429,0.4,1.6,.263,4.0,8.8,.458,1.1,1.5,.722,1.5,5.2,6.7,2.5,1.4,0.5,2.0,6.2,10.4,,95,106,andersh01
11,Martynas Andriuškevičius,C,19,CLE,6,0,9,0.0,5.9,.000,0.0,0.0,,0.0,5.9,.000,0.0,0.0,,5.9,17.8,23.8,0.0,11.9,0.0,0.0,5.9,0.0,,64,78,andrima01
12,Carmelo Anthony,SF,21,DEN,80,80,2941,13.1,27.3,.481,0.6,2.6,.243,12.5,24.7,.506,10.0,12.3,.808,2.1,4.7,6.8,3.8,1.5,0.7,3.8,4.0,36.9,,110,108,anthoca01
13,Rafael Araújo,C,25,TOR,52,34,601,4.6,12.7,.366,0.0,0.1,.000,4.6,12.6,.368,1.3,2.5,.536,3.8,8.9,12.6,1.3,2.1,0.5,3.7,9.1,10.6,,77,110,araujra01
14,Gilbert Arenas,PG,24,WAS,80,80,3384,11.5,25.6,.447,3.1,8.3,.369,8.4,17.3,.485,10.1,12.3,.820,0.9,3.4,4.3,7.4,2.5,0.4,4.6,4.4,36.1,,115,108,arenagi01
15,Trevor Ariza,SF,20,TOT,57,10,999,5.0,12.1,.412,0.1,0.3,.200,4.9,11.8,.416,4.1,6.8,.606,4.2,7.5,11.6,3.3,3.0,0.6,3.3,5.3,14.1,,96,106,arizatr01
15,Trevor Ariza,SF,20,NYK,36,10,709,4.5,10.9,.418,0.1,0.2,.333,4.5,10.7,.420,3.1,5.7,.545,3.7,6.6,10.2,3.4,3.2,0.7,3.4,5.8,12.3,,92,107,arizatr01
15,Trevor Ariza,SF,20,ORL,21,0,290,6.0,15.0,.400,0.0,0.4,.000,6.0,14.6,.410,6.6,9.4,.700,5.4,9.7,15.2,2.8,2.6,0.4,3.0,4.1,18.6,,104,104,arizatr01
16,Darrell Armstrong,PG,37,DAL,62,2,622,3.8,11.3,.336,1.0,4.2,.229,2.8,7.0,.400,2.9,3.7,.786,1.6,5.5,7.1,7.6,2.4,0.3,5.1,6.2,11.4,,87,105,armstda01
17,Carlos Arroyo,PG-SG,26,TOT,77,0,1194,7.7,17.4,.444,0.3,0.9,.350,7.4,16.4,.450,4.9,6.3,.774,1.5,4.5,6.0,10.7,1.7,0.2,3.8,5.5,20.6,,108,107,arroyca01
17,Carlos Arroyo,PG,26,DET,50,0,600,5.3,14.5,.363,0.2,0.6,.333,5.1,13.9,.364,3.9,5.3,.724,2.2,4.2,6.5,14.3,1.8,0.3,4.1,7.1,14.6,,102,105,arroyca01
17,Carlos Arroyo,SG,26,ORL,27,0,594,10.2,20.2,.502,0.5,1.3,.357,9.7,18.9,.512,5.9,7.2,.810,0.8,4.7,5.5,7.0,1.7,0.1,3.5,3.8,26.6,,113,109,arroyca01
18,Chucky Atkins,PG-SG,31,TOT,71,41,1713,7.2,18.2,.394,3.1,8.7,.354,4.1,9.5,.431,4.1,5.2,.791,0.7,3.1,3.8,6.3,1.4,0.1,2.8,4.8,21.5,,108,108,atkinch01
18,Chucky Atkins,SG,31,WAS,28,2,552,6.2,16.4,.379,3.1,8.7,.359,3.1,7.7,.402,2.1,2.9,.710,1.1,3.1,4.2,6.5,1.3,0.0,2.8,5.5,17.6,,105,111,atkinch01
18,Chucky Atkins,PG,31,MEM,43,39,1161,7.7,19.1,.401,3.1,8.7,.352,4.6,10.4,.442,5.1,6.3,.811,0.5,3.1,3.6,6.2,1.4,0.1,2.7,4.5,23.5,,109,106,atkinch01
19,Stacey Augmon,SF,37,ORL,36,3,385,3.5,10.3,.342,0.0,0.0,,3.5,10.3,.342,3.0,4.2,.700,2.5,4.9,7.5,3.2,1.7,0.8,1.6,5.6,10.0,,96,108,augmost01
20,Vin Baker,C,34,LAC,8,1,85,4.3,9.2,.467,0.0,0.0,,4.3,9.2,.467,8.0,11.1,.722,1.2,10.5,11.7,2.5,2.5,2.5,5.5,8.0,16.6,,93,98,bakervi01
21,Marcus Banks,PG,24,TOT,58,29,1497,7.9,16.8,.468,0.8,2.3,.349,7.1,14.5,.486,4.2,5.3,.803,0.8,4.0,4.8,7.9,1.9,0.4,4.3,5.8,20.7,,102,107,banksma01
21,Marcus Banks,PG,24,BOS,18,1,269,6.4,15.5,.413,1.2,3.7,.316,5.2,11.8,.443,5.2,5.8,.900,0.8,2.9,3.7,6.2,1.4,0.0,4.5,7.4,19.2,,99,111,banksma01
21,Marcus Banks,PG,24,MIN,40,28,1228,8.2,17.1,.479,0.7,1.9,.364,7.5,15.1,.494,4.0,5.2,.778,0.8,4.3,5.1,8.3,2.1,0.5,4.2,5.5,21.1,,103,106,banksma01
22,Leandro Barbosa,SG,23,PHO,57,11,1592,8.6,17.8,.481,2.7,6.2,.444,5.9,11.7,.501,3.5,4.6,.755,1.0,3.7,4.7,5.0,1.5,0.2,2.8,4.6,23.4,,111,108,barbole01
23,Matt Barnes,PF-SF,25,TOT,56,5,631,5.8,11.5,.500,0.2,1.2,.200,5.5,10.3,.536,2.6,3.9,.681,4.0,6.0,10.0,2.3,1.6,0.6,2.5,8.2,14.4,,108,109,barnema02
23,Matt Barnes,SF,25,NYK,6,5,93,6.3,17.1,.367,0.6,2.3,.250,5.7,14.8,.385,1.7,2.3,.750,4.0,9.7,13.6,3.4,2.3,0.0,3.4,4.5,14.8,,88,108,barnema02
23,Matt Barnes,PF,25,PHI,50,0,538,5.7,10.6,.536,0.2,1.1,.182,5.5,9.5,.576,2.8,4.1,.674,3.9,5.4,9.3,2.1,1.5,0.7,2.3,8.9,14.3,,112,109,barnema02
24,Andre Barrett,PG,23,TOT,19,0,282,7.1,19.4,.365,0.4,2.6,.143,6.7,16.8,.400,1.7,2.2,.750,1.7,3.0,4.7,9.7,1.9,0.0,2.8,2.4,16.2,,94,114,barrean01
24,Andre Barrett,PG,23,PHO,2,0,21,7.2,16.7,.429,0.0,2.4,.000,7.2,14.3,.500,7.2,7.2,1.000,2.4,4.8,7.2,4.8,0.0,0.0,2.4,2.4,21.5,,113,111,barrean01
24,Andre Barrett,PG,23,TOR,17,0,261,7.1,19.6,.361,0.4,2.6,.154,6.7,17.0,.393,1.2,1.8,.667,1.6,2.8,4.4,10.1,2.0,0.0,2.8,2.4,15.8,,93,114,barrean01
25,Earl Barron,C,24,MIA,8,0,45,5.8,18.6,.313,0.0,0.0,,5.8,18.6,.313,3.5,4.7,.750,2.3,9.3,11.6,0.0,0.0,0.0,5.8,11.6,15.1,,65,107,barroea01
26,Brent Barry,SG,34,SAS,74,5,1259,6.7,14.9,.452,3.4,8.7,.396,3.3,6.2,.531,1.7,2.5,.661,1.2,5.6,6.8,5.3,1.7,1.2,2.2,4.3,18.6,,115,100,barrybr01
27,Jon Barry,SG,36,HOU,20,0,342,4.0,10.4,.385,1.9,5.1,.375,2.1,5.3,.394,3.8,4.6,.828,0.2,4.8,4.9,4.1,2.1,0.2,3.5,4.0,13.7,,97,105,barryjo01
28,Eddie Basden,SF,22,CHI,19,0,141,5.5,13.6,.405,0.4,2.6,.143,5.1,11.0,.467,2.9,3.7,.800,2.6,7.7,10.3,2.9,3.3,0.7,3.3,6.2,14.3,,92,99,basdeed01
