Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,PF,21,MIA,61,4,737,8.4,15.4,.544,0.0,0.1,.000,8.4,15.3,.546,3.8,7.4,.509,4.9,9.1,14.0,2.0,1.3,1.9,2.9,6.1,20.5,,107,109,achiupr01
2,Jaylen Adams,PG,24,MIL,7,0,18,2.6,20.9,.125,0.0,5.2,.000,2.6,15.7,.167,0.0,0.0,,0.0,7.8,7.8,5.2,0.0,0.0,0.0,2.6,5.2,,45,116,adamsja01
3,Steven Adams,C,27,NOP,58,58,1605,5.6,9.2,.614,0.0,0.1,.000,5.6,9.1,.620,1.8,4.0,.444,6.4,9.0,15.4,3.3,1.6,1.1,2.3,3.4,13.1,,122,112,adamsst01
4,Bam Adebayo,C,23,MIA,64,64,2143,10.6,18.5,.570,0.0,0.2,.250,10.5,18.4,.573,6.6,8.2,.799,3.3,10.0,13.3,8.0,1.7,1.5,3.9,3.4,27.7,,122,108,adebaba01
5,LaMarcus Aldridge,C,35,TOT,26,23,674,10.1,21.3,.473,2.2,5.8,.388,7.8,15.5,.505,2.9,3.4,.872,1.4,7.1,8.5,3.5,0.8,2.1,1.9,3.4,25.3,,109,113,aldrila01
5,LaMarcus Aldridge,C,35,SAS,21,18,544,10.3,22.1,.464,2.4,6.7,.360,7.9,15.4,.509,2.8,3.3,.838,1.5,6.9,8.4,3.2,0.7,1.6,1.8,3.2,25.7,,108,114,aldrila01
5,LaMarcus Aldridge,C,35,BRK,5,5,130,9.3,17.8,.521,1.5,1.9,.800,7.8,16.0,.488,3.7,3.7,1.000,0.7,8.2,8.9,4.8,1.1,4.1,2.6,4.1,23.7,,117,110,aldrila01
6,Ty-Shon Alexander,SG,22,PHO,15,0,47,3.2,12.6,.250,2.1,9.5,.222,1.1,3.2,.333,1.1,2.1,.500,2.1,8.4,10.5,6.3,0.0,1.1,3.2,2.1,9.5,,84,114,alexaty01
7,Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,9.1,21.8,.419,3.6,10.4,.347,5.5,11.4,.485,2.3,3.1,.727,0.6,6.2,6.9,4.9,2.2,1.0,3.3,4.2,24.2,,101,112,alexani01
8,Grayson Allen,SG,25,MEM,50,38,1259,6.6,15.7,.418,4.1,10.4,.391,2.5,5.3,.471,3.0,3.5,.868,0.7,5.4,6.1,4.1,1.7,0.3,1.8,2.7,20.2,,116,113,allengr01
9,Jarrett Allen,C,22,TOT,63,45,1864,7.9,12.7,.618,0.2,0.5,.316,7.7,12.2,.631,5.4,7.6,.703,5.2,11.5,16.6,2.8,0.8,2.4,2.6,2.5,21.2,,127,112,allenja01
9,Jarrett Allen,C,22,BRK,12,5,320,6.6,9.8,.677,0.0,0.0,,6.6,9.8,.677,6.9,9.2,.754,5.7,13.1,18.8,3.0,1.1,2.9,3.3,3.2,20.2,,135,109,allenja01
9,Jarrett Allen,C,22,CLE,51,40,1544,8.1,13.3,.609,0.2,0.6,.316,7.9,12.7,.623,5.0,7.3,.690,5.0,11.1,16.2,2.7,0.8,2.3,2.5,2.4,21.5,,125,112,allenja01
10,Al-Farouq Aminu,PF,30,TOT,23,14,434,4.3,11.1,.384,0.9,4.1,.216,3.4,6.9,.484,2.0,2.5,.818,2.5,9.9,12.3,3.5,2.1,1.0,3.1,3.2,11.4,,91,111,aminual01
10,Al-Farouq Aminu,PF,30,ORL,17,14,367,4.8,11.8,.404,0.9,4.1,.226,3.8,7.7,.500,1.9,2.3,.824,2.7,9.4,12.1,3.8,2.3,1.2,3.3,2.9,12.3,,93,111,aminual01
10,Al-Farouq Aminu,PF,30,CHI,6,0,67,1.4,7.2,.200,0.7,4.3,.167,0.7,2.9,.250,2.9,3.6,.800,1.4,12.3,13.7,1.4,1.4,0.0,2.2,5.1,6.5,,77,111,aminual01
11,Kyle Anderson,PF,27,MEM,69,69,1887,7.8,16.7,.468,2.4,6.6,.360,5.4,10.1,.539,3.6,4.7,.783,1.3,8.7,10.0,6.3,2.1,1.4,2.2,3.0,21.6,,118,109,anderky01
12,Giannis Antetokounmpo,PF,26,MIL,61,61,2013,14.6,25.7,.569,1.6,5.2,.303,13.0,20.5,.636,9.3,13.6,.685,2.3,13.4,15.7,8.3,1.7,1.7,4.8,3.9,40.1,,122,107,antetgi01
