Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,C,23,TOR,55,12,1140,8.5,17.5,.485,1.3,4.7,.269,7.2,12.8,.564,3.8,5.4,.702,4.3,9.9,14.2,2.2,1.3,1.3,2.6,4.4,22.0,,112,113,achiupr01
2,Steven Adams,C,29,MEM,42,42,1133,6.6,11.0,.597,0.0,0.0,.000,6.6,11.0,.599,2.0,5.4,.364,9.0,11.4,20.3,4.1,1.5,1.9,3.3,4.1,15.1,,118,108,adamsst01
3,Bam Adebayo,C,25,MIA,75,75,2598,11.6,21.4,.540,0.0,0.2,.083,11.5,21.2,.545,6.2,7.7,.806,3.5,9.7,13.2,4.6,1.7,1.2,3.6,4.0,29.3,,115,111,adebaba01
4,Ochai Agbaji,SG,22,UTA,59,22,1209,6.5,15.3,.427,3.2,9.0,.355,3.3,6.2,.532,2.2,2.7,.812,1.7,3.1,4.8,2.6,0.6,0.6,1.6,3.9,18.5,,115,121,agbajoc01
5,Santi Aldama,PF,22,MEM,77,20,1682,7.0,14.8,.470,2.7,7.5,.353,4.3,7.3,.591,3.0,4.1,.750,2.4,8.1,10.5,2.7,1.3,1.4,1.7,4.0,19.7,,120,111,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,7.1,15.9,.444,3.3,8.6,.384,3.8,7.3,.515,2.2,3.2,.667,0.8,4.6,5.4,5.8,1.7,1.1,3.0,4.7,19.6,,109,116,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,7.5,15.4,.488,3.2,7.9,.402,4.3,7.5,.578,2.4,3.5,.692,0.7,4.6,5.3,6.9,2.2,1.3,4.1,5.2,20.6,,111,116,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,23,0,356,6.4,16.7,.384,3.5,9.6,.361,2.9,7.1,.415,1.7,2.8,.619,0.9,4.7,5.6,4.3,1.1,0.9,1.3,4.0,18.0,,106,116,alexani01
7,Grayson Allen,SG,27,MIL,72,70,1972,5.9,13.5,.440,3.5,8.9,.399,2.4,4.6,.518,2.8,3.1,.905,1.5,4.3,5.7,3.9,1.5,0.3,1.7,2.8,18.2,,123,114,allengr01
8,Jarrett Allen,C,24,CLE,68,68,2220,9.1,14.1,.644,0.0,0.2,.100,9.1,13.9,.653,3.7,5.0,.733,5.0,10.1,15.0,2.6,1.2,1.9,2.1,3.5,21.9,,132,108,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,1310,7.4,18.1,.411,3.1,9.1,.336,4.4,9.0,.488,2.4,3.0,.813,1.0,4.2,5.2,6.9,2.5,0.4,3.0,4.6,20.3,,107,113,alvarjo01
10,Kyle Anderson,PF,29,MIN,69,46,1957,6.1,12.0,.509,1.0,2.5,.410,5.1,9.5,.536,2.4,3.3,.735,1.6,7.3,8.9,8.1,1.9,1.5,2.5,3.5,15.7,,120,112,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,63,63,2024,16.7,30.1,.553,1.1,4.0,.275,15.6,26.1,.596,11.7,18.2,.645,3.2,14.3,17.5,8.5,1.2,1.2,5.8,4.6,46.2,,117,108,antetgi01
12,Thanasis Antetokounmpo,PF,30,MIL,37,0,206,4.6,10.7,.435,0.0,1.9,.000,4.6,8.8,.526,2.5,5.1,.500,3.5,6.7,10.2,3.5,0.7,0.7,2.8,5.1,11.8,,98,114,antetth01
13,Cole Anthony,PG,22,ORL,60,4,1552,8.6,19.0,.454,2.3,6.4,.364,6.3,12.6,.500,4.7,5.3,.894,1.5,7.5,9.0,7.3,1.2,1.0,2.8,4.9,24.3,,117,115,anthoco01
14,OG Anunoby,SF,25,TOR,67,67,2386,8.7,18.3,.476,2.9,7.6,.387,5.8,10.7,.539,2.9,3.5,.838,2.0,4.9,6.9,2.7,2.7,1.0,2.7,4.1,23.3,,113,113,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,20,4,172,2.6,10.5,.243,2.3,6.5,.348,0.3,4.0,.071,0.0,0.0,,0.0,4.3,4.3,6.5,1.4,0.0,2.0,4.8,7.4,,86,121,arcidry01
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1.9,9.5,.200,1.9,5.7,.333,0.0,3.8,.000,0.0,0.0,,0.0,7.6,7.6,3.8,3.8,0.0,1.9,5.7,5.7,,72,110,arcidry01
15,Ryan Arcidiacono,PG,28,POR,9,4,146,2.7,10.7,.250,2.3,6.7,.350,0.3,4.0,.083,0.0,0.0,,0.0,3.7,3.7,7.0,1.0,0.0,2.0,4.7,7.7,,88,122,arcidry01
16,Deni Avdija,SF,22,WAS,76,40,2020,6.1,14.0,.437,1.7,5.6,.297,4.4,8.4,.530,2.9,4.0,.739,1.8,10.0,11.7,5.1,1.6,0.7,3.0,5.0,16.8,,106,114,avdijde01
17,Deandre Ayton,C,24,PHO,67,67,2035,12.5,21.3,.589,0.2,0.6,.292,12.4,20.7,.597,3.7,4.8,.760,4.1,11.9,16.0,2.8,0.9,1.3,2.9,4.6,28.9,,119,111,aytonde01
18,Udoka Azubuike,C,23,UTA,36,4,359,7.9,9.6,.819,0.0,0.0,,7.9,9.6,.819,0.9,2.7,.350,4.1,11.7,15.8,1.5,0.8,2.0,2.4,4.5,16.6,,131,114,azubuud01
19,Marvin Bagley III,C,23,DET,42,25,990,9.9,18.7,.529,0.9,3.2,.288,9.0,15.5,.579,4.0,5.3,.750,4.6,8.6,13.2,1.8,0.9,1.5,2.3,4.0,24.7,,117,118,baglema01
20,Patrick Baldwin Jr.,SF,20,GSW,31,0,226,9.0,22.8,.394,6.7,17.6,.381,2.3,5.2,.440,0.8,1.3,.667,0.2,8.2,8.4,2.3,1.3,0.8,2.3,2.9,25.5,,101,114,baldwpa01
21,LaMelo Ball,PG,21,CHO,36,36,1268,11.1,27.1,.411,5.4,14.4,.376,5.7,12.7,.450,3.8,4.6,.836,1.6,7.1,8.7,11.4,1.7,0.4,4.8,4.4,31.5,,108,115,ballla01
22,Mo Bamba,C,24,TOT,49,7,769,7.3,15.1,.485,3.0,7.8,.387,4.3,7.3,.590,2.6,3.9,.661,3.6,10.5,14.1,2.9,0.8,2.7,1.9,6.6,20.3,,121,111,bambamo01
22,Mo Bamba,C,24,ORL,40,6,681,7.5,15.2,.495,3.1,7.7,.398,4.5,7.5,.594,2.5,3.6,.686,3.3,9.7,13.1,3.0,0.9,2.7,1.6,6.1,20.6,,125,112,bambamo01
22,Mo Bamba,C,24,LAL,9,1,88,5.9,14.5,.407,2.7,8.6,.313,3.2,5.9,.545,3.2,5.9,.545,5.9,16.2,22.1,2.2,0.5,2.7,4.3,10.2,17.8,,100,108,bambamo01
23,Paolo Banchero,PF,20,ORL,72,72,2430,9.5,22.3,.427,1.7,5.7,.298,7.8,16.6,.471,7.8,10.6,.738,1.7,8.2,9.9,5.4,1.2,0.8,4.0,3.2,28.6,,105,114,banchpa01
24,Desmond Bane,SG,24,MEM,58,58,1841,11.6,24.2,.479,4.3,10.5,.408,7.3,13.7,.534,4.7,5.3,.883,1.1,6.4,7.5,6.6,1.4,0.6,3.3,3.9,32.2,,119,113,banede01
25,Dalano Banton,PG,23,TOR,31,2,279,9.7,23.0,.423,2.7,9.0,.294,7.1,14.0,.506,3.0,4.3,.708,1.9,6.0,8.0,6.4,2.3,2.3,3.2,6.0,25.2,,105,112,bantoda01
26,Dominick Barlow,PF,19,SAS,28,0,408,5.3,10.0,.535,0.0,0.5,.000,5.3,9.5,.561,2.1,2.9,.720,5.3,6.5,11.8,2.8,1.2,2.2,1.7,6.5,12.7,,121,119,barlodo01
27,Harrison Barnes,PF,30,SAC,82,82,2662,6.7,14.2,.473,2.4,6.3,.374,4.3,7.9,.553,6.3,7.4,.847,1.6,5.0,6.6,2.3,1.0,0.2,1.5,1.9,22.1,,126,119,barneha02
28,Scottie Barnes,SF,21,TOR,77,76,2678,8.5,18.8,.456,1.2,4.1,.281,7.4,14.6,.505,3.5,4.5,.772,3.3,6.1,9.5,6.8,1.5,1.1,2.8,3.1,21.8,,113,115,barnesc01
29,RJ Barrett,SG,22,NYK,73,73,2475,10.2,23.5,.434,2.4,7.8,.310,7.8,15.7,.495,5.8,7.8,.740,1.2,6.2,7.3,4.0,0.6,0.3,3.3,3.6,28.6,,107,118,barrerj01
30,Will Barton,SG,32,TOT,56,2,993,6.8,17.9,.379,3.2,8.9,.367,3.5,9.1,.391,1.8,2.3,.787,0.7,6.0,6.7,5.5,1.4,0.6,2.4,2.8,18.6,,102,117,bartowi01
30,Will Barton,SG,32,WAS,40,0,782,6.9,17.7,.386,3.2,8.6,.377,3.6,9.2,.395,2.2,2.8,.778,0.6,6.3,6.9,5.9,1.1,0.6,2.8,2.4,19.1,,101,117,bartowi01
30,Will Barton,SG,32,TOR,16,2,211,6.6,18.5,.354,3.3,9.8,.333,3.3,8.7,.378,0.5,0.5,1.000,1.2,4.9,6.1,4.0,2.6,0.7,0.7,4.0,16.9,,105,114,bartowi01
31,Charles Bassey,C,22,SAS,35,2,508,8.1,12.6,.644,0.3,0.7,.375,7.8,11.8,.661,2.0,3.4,.595,7.0,11.0,17.9,4.4,1.5,3.1,3.8,6.9,18.5,,120,114,bassech01
32,Keita Bates-Diop,PF,27,SAS,67,42,1452,7.7,15.1,.508,1.8,4.6,.394,5.9,10.5,.557,3.9,4.9,.793,2.1,6.0,8.1,3.4,1.5,0.7,1.8,2.0,21.0,,121,120,bateske01
33,Nicolas Batum,PF,34,LAC,78,19,1709,4.6,10.9,.420,3.6,9.1,.391,1.0,1.8,.563,1.0,1.4,.708,1.8,6.8,8.6,3.5,1.5,1.3,1.4,4.3,13.7,,120,114,batumni01
34,Darius Bazley,C,22,TOT,43,1,616,6.4,14.2,.454,1.5,4.1,.377,4.9,10.1,.485,2.9,5.4,.543,2.6,8.0,10.7,2.9,1.7,2.6,2.1,3.4,17.3,,107,111,bazleda01
34,Darius Bazley,C,22,OKC,36,1,555,6.1,13.5,.449,1.5,3.9,.400,4.5,9.7,.469,3.1,5.6,.554,2.5,8.0,10.4,2.7,1.6,2.5,1.9,3.0,16.8,,108,111,bazleda01
34,Darius Bazley,C,22,PHO,7,0,61,9.6,20.0,.480,1.6,6.4,.250,8.0,13.6,.588,1.6,4.0,.400,4.0,8.8,12.8,4.8,2.4,4.0,4.0,7.2,22.4,,101,106,bazleda01
35,Bradley Beal,SG,29,WAS,50,50,1673,12.9,25.6,.506,2.3,6.4,.365,10.6,19.2,.552,5.6,6.6,.842,1.2,4.5,5.7,7.9,1.3,1.0,4.2,3.1,33.8,,114,117,bealbr01
