Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
205,Garth Joseph,C,27,TOR,2,0,8,6.6,13.2,.500,0.0,0.0,,6.6,13.2,.500,0.0,0.0,,13.2,0.0,13.2,6.6,0.0,0.0,6.6,6.6,13.2,,99,113,josepga01
205,Garth Joseph,C,27,DEN,2,0,8,0.0,19.4,.000,0.0,0.0,,0.0,19.4,.000,0.0,13.0,.000,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0,0.0,,0,109,josepga01
206,Adam Keefe,PF,30,GSW,67,13,836,3.9,9.7,.403,0.1,0.2,.333,3.8,9.5,.404,2.4,3.8,.619,5.5,7.3,12.8,2.2,1.7,1.2,2.4,6.2,10.3,,96,107,keefead01
207,Shawn Kemp,PF,31,POR,68,3,1083,8.4,20.5,.407,0.2,0.5,.364,8.2,20.0,.408,5.0,6.5,.771,3.1,9.7,12.9,3.2,2.2,1.1,4.9,9.1,21.9,,90,99,kempsh01
208,Steve Kerr,PG,35,SAS,55,1,650,5.5,13.1,.421,2.7,6.3,.429,2.8,6.8,.415,1.2,1.2,.933,0.5,2.4,2.9,4.7,1.3,0.1,1.7,2.5,14.9,,110,104,kerrst01
209,Jerome Kersey,SF,38,MIL,22,2,243,6.9,14.8,.464,0.0,0.2,.000,6.9,14.6,.471,1.7,3.4,.500,1.7,7.9,9.6,3.2,3.0,1.7,1.3,7.7,15.4,,102,100,kerseje01
210,Lari Ketner,PF,23,IND,3,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,7.7,0.0,0.0,15.3,0.0,0.0,,21,112,ketnela01
211,Jason Kidd*,PG,27,PHO,77,76,3065,7.6,18.4,.411,1.2,3.9,.297,6.4,14.5,.442,5.5,6.8,.814,1.5,6.8,8.3,12.7,2.8,0.4,4.8,2.9,21.8,,104,97,kiddja01
212,Gerard King,SF,28,WAS,45,3,706,6.6,12.9,.511,0.0,0.0,,6.6,12.9,.511,2.6,3.3,.800,2.9,6.6,9.5,2.3,1.0,0.8,3.4,6.9,15.8,,100,109,kingge02
213,Brevin Knight,PG,25,TOT,53,43,1457,5.0,13.3,.375,0.0,0.4,.100,4.9,12.9,.382,1.9,2.4,.818,0.8,5.2,6.0,11.1,3.6,0.1,3.3,5.6,11.9,,95,102,knighbr01
