Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Precious Achiuwa,C,22,TOR,73,28,1725,7.7,17.5,.439,1.6,4.5,.359,6.1,13.0,.468,2.3,3.8,.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,,105,110,achiupr01
2,Steven Adams,C,28,MEM,76,75,1999,5.0,9.2,.547,0.0,0.0,.000,5.0,9.2,.548,2.6,4.8,.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,,125,108,adamsst01
3,Bam Adebayo,C,24,MIA,56,56,1825,11.1,20.0,.557,0.0,0.2,.000,11.1,19.8,.562,7.0,9.3,.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,,117,104,adebaba01
4,Santi Aldama,PF,21,MEM,32,0,360,7.0,17.5,.402,0.8,6.4,.125,6.2,11.2,.560,2.7,4.3,.625,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,,101,111,aldamsa01
5,LaMarcus Aldridge,C,36,BRK,47,12,1050,11.6,21.1,.550,0.6,2.1,.304,11.0,19.0,.578,4.1,4.7,.873,3.4,8.5,11.9,1.9,0.6,2.2,2.0,3.6,28.0,,119,112,aldrila01
6,Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,8.5,22.9,.372,3.5,11.4,.311,5.0,11.5,.433,2.7,3.7,.743,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,,98,114,alexani01
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,8.9,23.7,.375,3.6,11.4,.311,5.3,12.3,.434,2.6,3.6,.722,1.3,4.8,6.1,5.2,1.5,0.7,3.2,3.3,23.9,,97,115,alexani01
6,Nickeil Alexander-Walker,SG,23,UTA,15,2,149,5.3,15.9,.333,3.3,10.9,.303,2.0,5.0,.400,3.6,4.0,.917,0.3,7.3,7.6,5.6,1.7,1.3,2.7,5.0,17.6,,105,110,alexani01
7,Grayson Allen,SG,26,MIL,66,61,1805,6.8,15.1,.448,4.2,10.4,.409,2.6,4.8,.533,1.7,2.0,.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,,122,114,allengr01
8,Jarrett Allen,C,23,CLE,56,56,1810,10.2,15.0,.677,0.0,0.3,.100,10.2,14.8,.688,4.6,6.4,.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25.0,,132,106,allenja01
9,Jose Alvarado,PG,23,NOP,54,1,834,7.8,17.4,.446,1.9,6.5,.291,5.9,10.9,.538,2.1,3.1,.679,1.5,4.4,5.9,9.0,4.2,0.4,2.4,4.3,19.5,,114,109,alvarjo01
10,Justin Anderson,SF,28,TOT,16,6,316,5.6,14.8,.379,2.3,9.2,.254,3.3,5.6,.583,2.3,3.0,.789,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,,109,116,anderju01
10,Justin Anderson,SF,28,CLE,3,0,47,4.3,8.5,.500,2.1,6.4,.333,2.1,2.1,1.000,3.2,4.3,.750,0.0,6.4,6.4,6.4,1.1,0.0,2.1,4.3,13.8,,126,112,anderju01
10,Justin Anderson,SF,28,IND,13,6,269,5.8,15.8,.368,2.4,9.6,.245,3.5,6.2,.559,2.2,2.7,.800,0.7,6.6,7.3,4.9,1.3,1.1,1.1,3.3,16.2,,107,117,anderju01
11,Kyle Anderson,PF,28,MEM,69,11,1484,6.7,15.1,.446,1.2,3.5,.330,5.6,11.6,.481,2.2,3.4,.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,,110,106,anderky01
12,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,15.0,27.1,.553,1.5,5.3,.293,13.5,21.9,.616,12.1,16.7,.722,2.9,14.0,17.0,8.5,1.6,2.0,4.8,4.6,43.6,,124,106,antetgi01
13,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,7.1,13.0,.547,0.2,1.4,.143,6.9,11.6,.596,2.9,4.7,.630,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,,113,112,antetth01
14,Carmelo Anthony,PF,37,LAL,69,3,1793,8.5,19.3,.441,4.0,10.6,.375,4.5,8.7,.521,3.5,4.3,.830,1.7,6.0,7.7,1.8,1.3,1.4,1.6,4.4,24.6,,114,114,anthoca01
15,Cole Anthony,PG,21,ORL,65,65,2059,8.4,21.4,.391,3.1,9.2,.338,5.3,12.2,.432,5.1,5.9,.854,0.8,7.4,8.2,8.7,1.1,0.4,4.0,4.0,24.9,,103,114,anthoco01
16,OG Anunoby,SF,24,TOR,48,48,1728,8.9,20.2,.443,3.3,9.2,.363,5.6,11.0,.511,2.6,3.4,.754,2.1,5.5,7.6,3.6,2.1,0.7,2.3,3.8,23.8,,112,111,anunoog01
17,Ryan Arcidiacono,PG,27,NYK,10,0,76,3.9,7.9,.500,2.6,5.9,.444,1.3,2.0,.667,0.0,0.0,,0.0,5.3,5.3,2.6,0.7,0.0,2.0,3.3,10.5,,111,115,arcidry01
18,Trevor Ariza,SF,36,LAL,24,11,462,3.4,10.3,.333,2.1,7.7,.270,1.3,2.6,.520,1.0,1.9,.556,1.0,7.5,8.5,2.8,1.3,0.6,1.1,2.1,10.0,,97,114,arizatr01
19,D.J. Augustin,PG,34,TOT,55,2,883,5.1,12.0,.423,3.7,8.9,.415,1.4,3.1,.448,2.1,2.3,.884,0.6,3.1,3.7,5.8,0.9,0.1,3.0,2.1,15.9,,112,120,augusdj01
19,D.J. Augustin,PG,34,HOU,34,2,510,5.1,12.7,.404,3.6,9.0,.406,1.5,3.7,.400,3.1,3.5,.868,0.7,3.2,3.8,6.9,0.9,0.0,4.2,1.6,17.0,,107,121,augusdj01
19,D.J. Augustin,PG,34,LAL,21,0,373,5.0,11.1,.453,3.7,8.7,.426,1.3,2.3,.556,0.6,0.6,1.000,0.5,3.0,3.5,4.2,0.9,0.1,1.4,2.8,14.4,,123,118,augusdj01
20,Deni Avdija,SF,21,WAS,82,8,1984,6.2,14.4,.432,2.0,6.5,.317,4.2,8.0,.525,2.6,3.4,.757,1.3,9.3,10.6,4.2,1.5,1.1,2.2,4.7,17.1,,106,113,avdijde01
21,Joel Ayayi,SG,21,WAS,7,0,20,2.5,14.8,.167,0.0,2.5,.000,2.5,12.4,.200,0.0,0.0,,2.5,4.9,7.4,9.9,0.0,0.0,0.0,0.0,4.9,,79,120,ayayijo01
22,Deandre Ayton,C,23,PHO,58,58,1713,12.4,19.6,.634,0.2,0.5,.368,12.2,19.0,.642,3.0,4.0,.746,4.2,12.5,16.7,2.4,1.1,1.1,2.6,4.0,28.0,,124,105,aytonde01
23,Udoka Azubuike,C,22,UTA,17,6,195,9.4,12.4,.755,0.0,0.0,,9.4,12.4,.755,1.5,2.8,.545,4.6,13.4,18.0,0.0,0.3,2.8,3.0,6.3,20.3,,124,107,azubuud01
24,Marvin Bagley III,PF,22,TOT,48,25,1153,9.5,18.8,.504,1.0,4.1,.237,8.5,14.7,.579,2.8,4.3,.663,4.4,9.8,14.3,1.5,0.9,0.8,1.6,3.9,22.8,,112,114,baglema01
24,Marvin Bagley III,PF,22,SAC,30,17,663,8.4,18.0,.463,1.1,4.5,.242,7.3,13.5,.538,2.6,3.4,.745,4.9,10.9,15.8,1.2,0.7,0.8,1.5,3.7,20.4,,110,115,baglema01
24,Marvin Bagley III,PF,22,DET,18,8,490,11.1,19.9,.555,0.8,3.5,.229,10.3,16.4,.624,3.2,5.4,.593,3.8,8.5,12.2,1.9,1.3,0.7,1.8,4.3,26.1,,115,114,baglema01
25,LaMelo Ball,PG,20,CHO,75,75,2422,10.7,24.8,.429,4.4,11.2,.389,6.3,13.7,.462,4.2,4.8,.872,2.1,7.8,9.9,11.3,2.4,0.6,4.9,4.7,29.9,,111,112,ballla01
26,Lonzo Ball,PG,24,CHI,35,35,1212,6.5,15.4,.423,4.4,10.5,.423,2.1,5.0,.423,0.8,1.1,.750,1.4,6.2,7.7,7.2,2.6,1.2,3.3,3.4,18.3,,110,111,balllo01
27,Mo Bamba,C,23,ORL,71,69,1824,7.8,16.4,.480,2.8,7.5,.381,5.0,8.9,.563,1.5,1.9,.781,3.9,11.2,15.2,2.3,1.0,3.1,2.0,4.8,20.0,,113,108,bambamo01
28,Desmond Bane,SG,23,MEM,76,76,2266,10.7,23.2,.461,4.8,11.0,.436,5.9,12.2,.484,3.0,3.3,.903,1.0,6.1,7.1,4.4,1.9,0.6,2.3,4.1,29.2,,119,110,banede01
29,Dalano Banton,PG,22,TOR,64,1,696,6.0,14.5,.411,0.9,3.7,.255,5.0,10.8,.464,1.9,3.2,.591,2.7,6.2,8.9,7.1,2.0,0.7,3.8,4.9,14.7,,98,111,bantoda01
30,Cat Barber,PG,27,ATL,3,0,13,0.0,15.1,.000,0.0,0.0,,0.0,15.1,.000,0.0,15.1,.000,3.8,7.6,11.3,11.3,0.0,0.0,3.8,3.8,0.0,,38,119,barbeca01
31,Harrison Barnes,PF,29,SAC,77,77,2580,7.3,15.5,.469,2.6,6.7,.394,4.6,8.8,.525,6.3,7.7,.826,1.5,6.5,8.0,3.5,1.0,0.3,2.2,1.7,23.5,,121,118,barneha02
32,Scottie Barnes,PF,20,TOR,74,74,2617,8.8,17.8,.492,1.1,3.7,.301,7.7,14.1,.543,3.0,4.1,.735,3.7,6.9,10.6,4.9,1.5,1.1,2.6,3.7,21.7,,116,111,barnesc01
33,RJ Barrett,SF,21,NYK,70,70,2417,10.1,24.7,.408,2.9,8.4,.342,7.2,16.4,.442,6.0,8.4,.714,1.4,7.1,8.4,4.3,0.9,0.3,3.1,2.9,29.0,,103,113,barrerj01
34,Will Barton,SG,31,DEN,71,71,2277,8.4,19.3,.438,3.4,9.3,.365,5.1,10.0,.504,2.2,2.7,.803,0.9,6.4,7.3,5.9,1.2,0.7,2.7,2.5,22.5,,108,114,bartowi01
35,Paris Bass,SF,26,PHO,2,0,7,13.7,41.2,.333,0.0,13.7,.000,13.7,27.5,.500,13.7,13.7,1.000,13.7,13.7,27.5,0.0,6.9,0.0,13.7,13.7,41.2,,82,92,basspa01
36,Charles Bassey,C,21,PHI,23,0,168,8.9,14.0,.638,0.0,1.2,.000,8.9,12.8,.698,2.7,3.6,.750,6.5,11.9,18.4,2.1,1.5,5.0,2.4,9.5,20.5,,129,103,bassech01
37,Keita Bates-Diop,SF,26,SAS,59,14,957,6.8,13.2,.517,0.9,2.8,.309,6.0,10.4,.572,2.3,3.1,.754,3.1,8.5,11.6,2.1,1.4,0.7,2.3,3.1,16.8,,111,112,bateske01
38,Nicolas Batum,PF,33,LAC,59,54,1463,6.0,13.0,.463,3.6,9.0,.400,2.4,3.9,.607,0.8,1.3,.658,1.0,7.5,8.5,3.4,1.9,1.4,1.3,2.7,16.5,,118,109,batumni01
