,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Team Performance
447,383,Otto Porter Jr.,PF,28,GSW,63,15,22.2,3.1,6.6,0.464,1.3,3.4,0.37,1.8,3.2,0.565,0.56,0.8,1.0,0.803,1.4,4.4,5.7,1.5,1.1,0.5,0.6,1.3,8.2,2021-2022,top
448,443,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,2022-2023,Average
449,105,Donte DiVincenzo,SG,26,GSW,72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,2022-2023,Average
450,20,Charles Barkley*,PF,36,HOU,20,18,31.0,5.3,11.1,0.477,0.3,1.3,0.231,5.0,9.8,0.51,0.491,3.6,5.5,0.645,3.6,6.9,10.5,3.2,0.7,0.2,2.2,2.4,14.5,1999-2000,Average
451,254,Cuttino Mobley,SG,24,HOU,81,8,30.8,5.4,12.5,0.43,1.3,3.6,0.356,4.1,8.9,0.46,0.481,3.7,4.4,0.847,0.7,2.8,3.6,2.6,1.1,0.4,2.3,2.1,15.8,1999-2000,Average
452,355,Kenny Thomas,PF,23,HOU,74,21,24.6,2.8,6.3,0.443,0.3,1.2,0.272,2.4,5.0,0.485,0.47,1.2,1.7,0.722,1.6,4.0,5.6,1.0,0.5,0.6,1.6,2.4,7.1,2000-2001,Average
453,388,Walt Williams,SF,30,HOU,72,31,22.0,2.8,7.1,0.394,1.4,3.4,0.395,1.4,3.7,0.392,0.489,1.3,1.8,0.77,0.4,3.0,3.4,1.3,0.4,0.4,1.0,2.1,8.3,2000-2001,Average
454,316,Glen Rice,SF,34,HOU,20,20,30.3,3.3,8.4,0.389,0.9,3.2,0.281,2.4,5.2,0.456,0.443,1.2,1.5,0.8,0.3,2.1,2.4,1.6,0.6,0.2,1.2,1.7,8.6,2001-2002,Average
455,276,Moochie Norris,PG,28,HOU,82,26,27.4,3.1,7.7,0.398,0.4,1.6,0.269,2.6,6.1,0.433,0.426,1.5,2.1,0.751,0.9,2.1,3.0,4.9,1.0,0.0,1.9,1.6,8.1,2001-2002,Average
456,297,Glen Rice,SF,35,HOU,62,26,24.7,3.2,7.4,0.429,1.6,4.1,0.398,1.5,3.3,0.468,0.539,1.0,1.3,0.759,0.5,2.0,2.5,1.0,0.4,0.1,0.9,1.6,9.0,2002-2003,Average
457,347,Maurice Taylor,PF,26,HOU,67,9,20.6,3.4,8.0,0.432,0.0,0.0,0.0,3.4,8.0,0.433,0.432,1.5,2.1,0.725,1.4,2.1,3.6,1.0,0.3,0.3,1.5,2.3,8.4,2002-2003,Average
458,329,Maurice Taylor,PF,27,HOU,75,10,27.7,4.9,10.2,0.48,0.0,0.0,0.0,4.9,10.2,0.481,0.48,1.7,2.3,0.736,1.7,3.4,5.1,1.4,0.6,0.6,2.0,3.4,11.5,2003-2004,Average
459,277,Eric Piatkowski,SF,33,HOU,49,0,14.3,1.5,3.9,0.377,0.9,2.5,0.352,0.6,1.4,0.42,0.49,0.3,0.3,0.875,0.2,1.3,1.5,0.5,0.3,0.1,0.6,0.9,4.1,2003-2004,Average
