Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
79,Kelvin Cato,C,32,NYK,18,0,95,3.9,12.2,.318,0.0,0.0,,3.9,12.2,.318,4.5,6.7,.667,6.7,10.6,17.3,0.0,1.7,5.6,3.3,5.6,12.2,,88,100,catoke01
80,Tyson Chandler,C,24,NOK,73,73,2525,6.2,9.9,.624,0.0,0.0,.000,6.2,9.8,.625,2.2,4.2,.527,6.7,12.3,19.0,1.4,0.8,2.7,2.7,5.1,14.5,,117,103,chandty01
81,Josh Childress,SG,23,ATL,55,13,2024,6.9,13.6,.504,0.7,2.0,.338,6.2,11.6,.533,4.4,5.5,.795,3.2,5.7,9.0,3.3,1.5,0.9,2.1,3.1,18.8,,119,109,childjo01
82,Doug Christie,SG,36,LAC,7,0,82,3.2,11.0,.294,0.6,3.9,.167,2.6,7.1,.364,1.3,1.9,.667,1.9,5.2,7.1,5.2,1.9,0.6,3.2,7.1,8.4,,78,106,chrisdo01
83,Speedy Claxton,PG,28,ATL,42,31,1054,4.6,14.1,.327,0.3,1.4,.214,4.3,12.7,.340,1.7,3.0,.550,0.6,3.5,4.1,9.4,3.6,0.2,3.8,6.6,11.2,,82,107,claxtsp01
84,Jarron Collins,C,28,UTA,82,9,913,4.3,9.8,.441,0.0,0.0,,4.3,9.8,.441,3.1,4.8,.651,4.1,5.7,9.8,3.4,0.7,0.5,2.1,8.4,11.7,,107,110,collija03
85,Jason Collins,PF,28,NJN,80,78,1844,1.6,4.3,.364,0.0,0.1,.000,1.6,4.2,.369,1.7,3.6,.465,2.6,6.4,9.0,1.3,1.1,1.1,2.1,7.8,4.8,,83,107,collija04
86,Mardy Collins,SF,22,NYK,52,9,777,5.9,15.5,.382,0.9,3.2,.277,5.0,12.3,.409,3.3,5.6,.585,1.9,5.2,7.1,5.6,2.2,0.2,3.9,5.1,16.0,,92,109,collima01
87,Nick Collison,C,26,SEA,82,56,2378,7.0,14.0,.500,0.0,0.0,.000,7.0,13.9,.502,3.4,4.4,.774,5.0,9.6,14.6,1.8,1.1,1.5,2.7,6.4,17.4,,110,109,collini01
88,Will Conroy,PG-SG,24,TOT,7,0,52,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,0.0,4.0,.000,3.0,4.0,7.0,9.1,0.0,0.0,2.0,7.0,0.0,,72,114,conrowi01
