Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Shareef Abdur-Rahim,PF,31,SAC,6,0,51,3.0,13.9,.214,0.0,0.0,,3.0,13.9,.214,4.0,4.0,1.000,6.0,4.0,9.9,4.0,1.0,0.0,1.0,8.9,9.9,,95,114,abdursh01
2,Arron Afflalo,SG,22,DET,75,9,970,5.6,13.7,.411,0.6,2.7,.208,5.0,10.9,.461,3.9,4.9,.782,2.0,5.7,7.8,2.9,1.8,0.5,1.9,4.7,15.6,,104,104,afflaar01
3,Maurice Ager,SG,23,TOT,26,3,165,6.7,20.8,.323,1.0,6.1,.158,5.8,14.7,.391,1.9,3.8,.500,1.3,2.9,4.2,2.6,0.0,0.3,1.9,5.4,16.3,,77,114,agerma01
3,Maurice Ager,SG,23,DAL,12,3,77,3.5,18.7,.185,0.0,5.5,.000,3.5,13.1,.263,3.5,4.1,.833,0.7,2.1,2.8,2.8,0.0,0.7,2.1,7.6,10.4,,61,112,agerma01
3,Maurice Ager,SG,23,NJN,14,0,88,9.5,22.7,.421,1.8,6.6,.273,7.8,16.1,.481,0.6,3.6,.167,1.8,3.6,5.4,2.4,0.0,0.0,1.8,3.6,21.5,,89,116,agerma01
4,Blake Ahearn,PG,23,MIA,12,0,177,4.5,17.1,.263,3.0,10.2,.294,1.5,6.9,.217,9.0,9.3,.968,0.3,5.4,5.7,5.7,1.8,0.0,4.8,6.0,21.0,,94,111,ahearbl01
5,LaMarcus Aldridge,PF,22,POR,76,76,2649,11.6,23.9,.484,0.0,0.1,.143,11.5,23.8,.486,4.7,6.1,.762,4.5,7.4,11.9,2.5,1.1,1.9,2.6,4.9,27.8,,108,107,aldrila01
6,Malik Allen,PF,29,TOT,73,16,1096,7.5,15.7,.480,0.0,0.1,.500,7.5,15.6,.480,1.1,1.2,.920,3.2,6.3,9.4,2.1,0.9,1.5,2.2,7.2,16.3,,100,109,allenma01
6,Malik Allen,PF,29,NJN,48,12,763,8.5,17.9,.475,0.1,0.1,.500,8.5,17.8,.475,0.8,0.9,.923,2.9,5.9,8.8,2.0,1.0,1.4,2.2,6.1,17.9,,97,110,allenma01
6,Malik Allen,PF,29,DAL,25,4,333,5.3,10.6,.500,0.0,0.0,,5.3,10.6,.500,1.8,1.9,.917,3.8,7.0,10.9,2.4,0.6,1.6,2.1,9.6,12.3,,110,107,allenma01
7,Ray Allen*,SG,32,BOS,73,73,2624,8.8,19.8,.445,3.6,9.1,.398,5.2,10.7,.485,4.3,4.8,.907,1.5,3.9,5.4,4.5,1.3,0.3,2.6,3.0,25.6,,116,103,allenra02
8,Tony Allen,SG,26,BOS,75,11,1373,6.5,15.0,.434,0.7,2.2,.316,5.8,12.8,.455,5.3,7.0,.762,1.3,5.2,6.5,4.4,2.4,0.8,4.2,6.5,19.0,,98,99,allento01
9,Lance Allred,C,26,CLE,3,0,10,5.3,21.3,.250,0.0,0.0,,5.3,21.3,.250,5.3,10.6,.500,0.0,5.3,5.3,0.0,0.0,0.0,0.0,5.3,16.0,,72,112,allrela01
10,Morris Almond,SG,22,UTA,9,0,39,5.3,19.8,.267,1.3,5.3,.250,4.0,14.5,.273,5.3,7.9,.667,0.0,2.6,2.6,4.0,1.3,0.0,2.6,6.6,17.2,,81,111,almonmo01
11,Rafer Alston,PG,31,HOU,74,74,2526,7.7,19.4,.394,3.0,8.6,.351,4.6,10.9,.427,2.1,2.9,.715,0.6,4.9,5.5,8.2,2.1,0.4,3.4,2.9,20.4,,102,103,alstora01
12,Lou Amundson,PF,25,PHI,16,0,64,6.6,13.3,.500,0.0,0.0,,6.6,13.3,.500,1.7,5.8,.286,5.8,4.1,10.0,0.0,0.8,0.8,1.7,10.8,14.9,,101,110,amundlo01
13,Chris Andersen,C,29,NOH,5,0,34,3.1,11.0,.286,0.0,0.0,,3.1,11.0,.286,3.1,6.3,.500,3.1,11.0,14.1,0.0,0.0,6.3,1.6,9.4,9.4,,78,101,anderch01
14,Derek Anderson,SG,33,CHA,28,0,396,6.2,16.5,.376,2.5,6.9,.365,3.7,9.6,.384,3.7,5.0,.737,1.2,5.7,6.9,5.8,1.6,0.1,3.3,6.5,18.6,,99,111,anderde01
15,Carmelo Anthony,SF,23,DEN,77,77,2806,12.5,25.4,.492,1.0,2.8,.354,11.5,22.6,.509,8.0,10.1,.786,3.1,6.7,9.8,4.4,1.7,0.7,4.3,4.3,33.9,,109,107,anthoca01
16,Joel Anthony,PF,25,MIA,24,1,498,3.0,6.4,.467,0.0,0.0,,3.0,6.4,.467,3.1,5.2,.592,4.1,5.9,9.9,0.3,1.0,3.3,1.8,5.9,9.1,,104,109,anthojo01
17,Gilbert Arenas,PG,26,WAS,13,8,425,9.8,24.7,.398,2.8,9.8,.282,7.1,14.9,.475,9.3,12.1,.771,0.8,5.7,6.4,8.3,2.9,0.1,6.2,3.8,31.8,,102,109,arenagi01
18,Trevor Ariza,SF,22,TOT,35,3,546,6.4,12.6,.507,0.5,1.7,.278,5.9,10.9,.542,4.5,6.9,.653,2.8,7.2,10.0,4.1,2.9,1.0,2.1,4.2,17.7,,116,103,arizatr01
18,Trevor Ariza,SF,22,ORL,11,0,115,6.3,13.9,.452,0.0,1.3,.000,6.3,12.5,.500,3.6,6.7,.533,2.2,8.5,10.7,3.6,2.2,1.3,2.2,4.0,16.1,,100,102,arizatr01
18,Trevor Ariza,SF,22,LAL,24,3,431,6.4,12.2,.524,0.6,1.7,.333,5.8,10.5,.556,4.8,7.0,.683,2.9,6.9,9.8,4.2,3.0,0.9,2.1,4.2,18.2,,121,103,arizatr01
19,Darrell Armstrong,PG,39,NJN,50,2,549,3.8,10.5,.364,2.2,6.6,.333,1.6,3.9,.415,1.9,2.9,.667,1.6,4.8,6.4,7.0,2.7,0.2,3.9,5.1,11.8,,95,109,armstda01
20,Hilton Armstrong,C,23,NOH,65,3,732,4.9,10.8,.453,0.0,0.0,,4.9,10.8,.453,3.2,5.1,.629,4.7,7.1,11.9,1.7,1.1,2.5,4.3,9.5,13.0,,92,105,armsthi01
21,Carlos Arroyo,PG,28,ORL,62,20,1269,6.4,14.1,.451,1.2,3.4,.345,5.2,10.7,.485,3.5,4.1,.853,0.4,4.2,4.6,8.9,1.1,0.1,3.1,3.4,17.4,,111,109,arroyca01
22,Chucky Atkins,SG,33,DEN,24,0,352,5.7,16.7,.344,3.4,10.8,.316,2.3,5.9,.395,0.5,1.2,.444,0.4,3.8,4.2,6.4,1.2,0.1,1.4,3.7,15.4,,101,111,atkinch01
23,James Augustine,PF,23,ORL,25,0,149,6.2,11.7,.529,0.0,0.0,,6.2,11.7,.529,1.4,2.8,.500,5.5,4.8,10.4,0.7,1.7,0.7,2.1,6.2,13.8,,109,106,augusja01
24,Kelenna Azubuike,SG,24,GSW,81,17,1732,7.3,16.5,.445,2.0,5.5,.364,5.3,11.0,.485,2.8,3.9,.717,3.0,6.1,9.1,2.1,1.3,1.0,1.6,4.5,19.4,,112,111,azubuke01
25,Renaldo Balkman,SF,23,NYK,65,0,952,5.0,10.2,.489,0.1,0.7,.083,5.0,9.6,.517,2.3,5.2,.432,4.6,7.3,11.9,2.2,2.4,1.7,2.0,7.3,12.3,,104,108,balkmre01
26,Marcus Banks,PG,26,TOT,36,3,569,7.7,17.2,.450,3.6,9.2,.392,4.1,8.0,.517,2.4,3.1,.771,0.4,3.7,4.0,5.5,1.3,1.2,3.3,5.8,21.5,,106,111,banksma01
26,Marcus Banks,PG,26,PHO,24,1,310,7.0,17.5,.404,4.0,10.4,.385,3.0,7.0,.432,1.9,2.6,.750,0.5,2.7,3.2,4.0,1.3,1.3,2.6,6.1,20.0,,102,111,banksma01
26,Marcus Banks,PG,26,MIA,12,2,259,8.6,16.8,.512,3.1,7.6,.405,5.5,9.2,.600,3.1,3.9,.789,0.2,4.9,5.1,7.4,1.2,1.0,4.3,5.5,23.4,,110,112,banksma01
27,Leandro Barbosa,SG,25,PHO,82,12,2421,9.7,20.9,.462,3.4,8.7,.389,6.3,12.3,.514,3.6,4.4,.822,0.8,3.9,4.7,4.4,1.5,0.4,2.4,4.0,26.3,,111,111,barbole01
