Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Tariq Abdul-Wahad,SG,25,TOT,61,56,1578,8.6,20.3,.424,0.1,0.7,.130,8.5,19.6,.435,4.6,6.1,.756,3.2,6.0,9.2,3.1,1.9,0.9,3.3,4.6,21.9,,98,103,abdulta01
1,Tariq Abdul-Wahad,SG,25,ORL,46,46,1205,9.1,21.1,.433,0.1,0.9,.095,9.0,20.2,.447,4.7,6.2,.762,3.2,6.6,9.8,2.9,2.2,0.7,3.6,4.7,23.0,,98,101,abdulta01
1,Tariq Abdul-Wahad,SG,25,DEN,15,10,373,6.9,17.8,.389,0.1,0.3,.500,6.8,17.5,.388,4.2,5.7,.738,3.3,3.8,7.1,3.5,0.8,1.6,2.6,4.2,18.2,,96,109,abdulta01
2,Shareef Abdur-Rahim,SF,23,VAN,82,82,3223,9.7,20.9,.465,0.5,1.6,.302,9.3,19.3,.478,7.3,9.0,.809,3.6,9.9,13.5,4.4,1.5,1.4,4.1,4.0,27.2,,108,106,abdursh01
3,Cory Alexander,PG,26,DEN,29,2,329,4.3,15.1,.286,1.4,5.4,.257,2.9,9.7,.302,2.6,3.4,.773,1.2,5.2,6.5,8.9,3.7,0.3,4.3,6.0,12.6,,84,103,alexaco01
4,Ray Allen*,SG,24,MIL,82,82,3070,10.8,23.8,.455,2.9,6.9,.423,7.9,16.9,.468,6.0,6.7,.887,1.4,4.7,6.1,5.2,1.9,0.3,3.1,3.2,30.5,,115,110,allenra02
5,Rafer Alston,PG,23,MIL,27,0,361,3.9,13.6,.284,0.4,2.0,.214,3.4,11.6,.296,0.4,0.6,.750,0.7,2.6,3.3,10.0,1.7,0.0,4.2,4.2,8.6,,76,112,alstora01
6,John Amaechi,C,29,ORL,80,53,1684,9.0,20.5,.437,0.0,0.2,.167,8.9,20.3,.439,6.5,8.5,.766,1.8,6.0,7.8,2.8,1.0,1.1,4.1,4.7,24.5,,98,104,amaecjo01
7,Derek Anderson,SG,25,LAC,64,58,2201,8.8,20.0,.438,1.3,4.1,.309,7.5,15.8,.472,6.3,7.2,.877,1.9,4.1,6.0,5.1,2.1,0.3,3.9,3.5,25.1,,105,111,anderde01
8,Kenny Anderson,PG,29,BOS,82,82,2593,8.5,19.3,.440,1.7,4.3,.386,6.8,15.0,.456,3.8,5.0,.775,1.1,3.3,4.4,8.2,2.7,0.2,2.5,4.5,22.5,,112,107,anderke01
9,Nick Anderson,SG,32,SAC,72,72,2094,7.1,18.1,.391,3.0,9.2,.332,4.0,8.9,.452,0.9,1.8,.487,1.9,5.9,7.8,2.8,2.2,0.4,2.2,2.7,18.0,,97,103,anderni01
10,Shandon Anderson,SF,26,HOU,82,82,2700,6.9,14.7,.473,1.5,4.2,.351,5.5,10.4,.523,3.7,4.8,.767,1.7,5.5,7.2,4.5,1.8,0.6,3.7,3.4,19.0,,106,107,andersh01
11,Chris Anstey,C,25,CHI,73,11,1007,8.6,19.4,.442,0.1,0.3,.167,8.5,19.1,.447,6.2,7.8,.789,4.8,10.1,14.9,3.5,1.5,1.3,4.3,9.6,23.4,,100,102,anstech01
12,Greg Anthony,PG,32,POR,82,3,1548,5.8,14.4,.406,3.0,8.0,.378,2.8,6.3,.443,3.0,3.9,.772,0.6,4.0,4.6,7.2,2.0,0.3,2.9,4.9,17.7,,110,103,anthogr01
13,B.J. Armstrong,PG,32,CHI,27,18,583,7.6,17.1,.446,1.2,2.7,.448,6.4,14.5,.446,2.0,2.3,.880,0.2,4.1,4.3,7.2,0.6,0.1,3.7,3.1,18.5,,98,110,armstbj01
14,Darrell Armstrong,PG,31,ORL,82,82,2590,9.2,21.3,.433,2.6,7.7,.340,6.6,13.6,.485,4.3,4.7,.911,1.2,3.9,5.1,9.5,3.2,0.2,4.7,2.6,25.3,,107,102,armstda01
15,Chucky Atkins,PG,25,ORL,82,0,1626,9.5,22.5,.424,1.7,4.9,.350,7.8,17.5,.445,2.9,4.0,.729,0.6,3.2,3.8,9.3,1.6,0.1,4.3,4.2,23.7,,100,106,atkinch01
16,Stacey Augmon,SG,31,POR,59,0,692,6.4,13.5,.474,0.0,0.2,.000,6.4,13.4,.480,2.9,4.2,.673,3.2,5.7,9.0,4.1,2.1,0.8,2.9,5.3,15.7,,103,101,augmost01
17,Isaac Austin,C,30,WAS,59,23,1173,6.7,15.5,.429,0.0,0.2,.250,6.6,15.4,.431,4.1,6.0,.686,2.8,9.6,12.4,3.3,0.8,1.7,4.7,5.6,17.5,,89,106,austiis01
18,Anthony Avent,PF,30,LAC,49,3,377,3.9,13.0,.302,0.0,0.0,,3.9,13.0,.302,3.1,4.3,.719,3.1,6.9,10.0,1.5,2.2,2.0,3.3,8.4,11.0,,76,107,aventan01
19,William Avery,PG,20,MIN,59,1,484,6.1,19.6,.309,1.9,6.8,.286,4.1,12.8,.322,2.6,3.9,.667,0.9,3.5,4.3,9.5,1.5,0.2,4.5,6.5,16.6,,84,107,averywi01
20,Toby Bailey,SG,24,PHO,46,2,449,6.6,15.9,.414,0.2,1.1,.200,6.4,14.8,.431,5.1,7.4,.692,3.0,5.2,8.2,3.4,1.5,0.5,2.7,6.3,18.5,,100,102,baileto01
