Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Álex Abrines,SG,24,OKC,75,8,1134,5.0,12.7,.395,3.7,9.7,.380,1.4,3.1,.443,1.7,2.0,.848,1.1,3.9,5.0,1.2,1.7,0.4,1.1,5.4,15.4,,116,110,abrinal01
2,Quincy Acy,PF,27,BRK,70,8,1359,4.6,13.0,.356,3.6,10.4,.349,1.0,2.6,.384,1.8,2.1,.817,1.4,7.8,9.2,2.0,1.2,1.0,2.1,5.3,14.7,,99,110,acyqu01
3,Steven Adams,C,24,OKC,76,76,2487,8.9,14.2,.629,0.0,0.0,.000,8.9,14.2,.631,3.2,5.7,.559,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,,125,107,adamsst01
4,Bam Adebayo,C,20,MIA,69,19,1368,6.4,12.5,.512,0.0,0.3,.000,6.4,12.2,.523,4.7,6.6,.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,,116,105,adebaba01
5,Arron Afflalo,SG,32,ORL,53,3,682,4.7,11.6,.401,1.9,5.0,.386,2.7,6.6,.413,1.6,1.9,.846,0.3,4.5,4.7,2.2,0.3,0.6,1.5,4.0,12.8,,98,115,afflaar01
6,Cole Aldrich,C,29,MIN,21,0,49,5.1,15.3,.333,0.0,0.0,,5.1,15.3,.333,2.0,6.1,.333,3.1,12.2,15.3,3.1,2.0,1.0,1.0,11.2,12.2,,85,107,aldrico01
7,LaMarcus Aldridge,C,32,SAS,75,75,2509,13.8,27.1,.510,0.5,1.9,.293,13.3,25.3,.526,6.7,8.0,.837,5.0,7.8,12.8,3.1,0.9,1.8,2.2,3.2,34.9,,118,105,aldrila01
8,Jarrett Allen,C,19,BRK,72,31,1441,7.9,13.4,.589,0.2,0.5,.333,7.7,12.9,.599,3.8,5.0,.776,4.9,8.2,13.1,1.7,0.9,3.0,2.8,5.0,19.8,,119,108,allenja01
9,Kadeem Allen,PG,25,BOS,18,1,107,2.8,10.3,.273,0.0,5.1,.000,2.8,5.1,.545,3.3,4.2,.778,1.9,3.3,5.1,5.6,1.4,0.9,4.2,7.0,8.9,,78,106,allenka01
10,Tony Allen,SF,36,NOP,22,0,273,7.7,15.9,.484,0.7,2.1,.333,7.0,13.8,.506,1.9,3.7,.524,3.5,4.7,8.2,1.6,1.9,0.5,3.3,8.6,18.0,,95,110,allento01
