Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Arron Afflalo,SG,24,DEN,82,75,2221,6.2,13.3,.465,2.5,5.7,.434,3.7,7.7,.488,1.6,2.2,.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,,114,111,afflaar01
2,Alexis Ajinça,C,21,CHA,6,0,30,8.9,17.7,.500,0.0,0.0,,8.9,17.7,.500,0.0,1.8,.000,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,,81,103,ajincal01
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,10.8,21.9,.495,0.1,0.3,.313,10.7,21.6,.498,4.3,5.7,.757,3.6,8.1,11.7,3.0,1.3,0.9,1.9,4.3,26.1,,113,107,aldrila01
4,Joe Alexander,SF,23,CHI,8,0,29,1.8,10.7,.167,0.0,1.8,.000,1.8,8.9,.200,3.6,5.3,.667,3.6,5.3,8.9,3.6,1.8,1.8,0.0,16.0,7.1,,88,104,alexajo01
5,Malik Allen,PF,31,DEN,51,3,456,5.1,12.9,.397,0.1,0.7,.167,5.0,12.2,.409,1.3,1.4,.923,4.0,5.1,9.1,1.8,1.2,0.6,2.4,7.6,11.7,,93,110,allenma01
6,Ray Allen*,SG,34,BOS,80,80,2819,8.6,18.1,.477,2.7,7.4,.363,5.9,10.7,.556,4.3,4.7,.913,0.8,3.9,4.7,3.9,1.2,0.5,2.4,3.4,24.2,,115,108,allenra02
7,Tony Allen,SG,28,BOS,54,8,889,7.6,14.9,.510,0.0,0.3,.000,7.6,14.6,.520,4.2,7.0,.605,3.1,5.5,8.5,4.2,3.5,1.1,3.9,6.4,19.4,,101,101,allento01
8,Rafer Alston,PG,33,TOT,52,38,1421,5.8,16.6,.348,2.2,6.3,.345,3.6,10.4,.349,2.2,3.0,.728,0.5,4.3,4.8,6.6,1.9,0.4,3.5,3.8,15.9,,89,109,alstora01
8,Rafer Alston,PG,33,NJN,27,13,766,6.5,19.0,.343,1.9,6.0,.322,4.6,13.0,.353,3.0,3.7,.815,0.6,4.5,5.1,7.1,1.9,0.3,4.2,3.4,18.0,,87,112,alstora01
8,Rafer Alston,PG,33,MIA,25,25,655,4.9,13.8,.355,2.5,6.6,.370,2.5,7.2,.341,1.2,2.2,.556,0.3,4.1,4.4,5.9,1.9,0.4,2.8,4.3,13.5,,93,106,alstora01
9,Lou Amundson,PF,27,PHO,79,0,1168,6.6,11.9,.551,0.0,0.0,.000,6.6,11.9,.553,2.9,5.3,.545,5.5,9.4,14.9,1.3,1.0,3.1,2.5,7.3,16.0,,113,107,amundlo01
10,Chris Andersen,PF,31,DEN,76,0,1695,4.2,7.5,.566,0.0,0.1,.000,4.2,7.4,.573,4.9,7.1,.695,4.4,10.0,14.4,1.0,1.3,4.3,1.8,5.1,13.4,,126,103,anderch01
11,David Andersen,C,29,HOU,63,0,891,8.4,19.5,.432,1.5,4.5,.346,6.9,15.0,.458,2.6,3.8,.687,3.1,8.8,11.9,2.5,0.9,0.7,2.1,6.8,21.0,,103,108,anderda03
12,Antonio Anderson,SF,24,OKC,1,0,15,3.4,10.3,.333,0.0,0.0,,3.4,10.3,.333,0.0,0.0,,3.4,0.0,3.4,0.0,0.0,0.0,3.4,3.4,6.9,,66,114,anderan02
13,Ryan Anderson,PF,21,ORL,63,6,911,9.7,22.2,.436,4.5,12.1,.370,5.2,10.1,.514,4.1,4.7,.866,4.0,7.6,11.6,2.1,1.4,0.8,3.2,4.6,27.9,,112,103,anderry01
14,Carmelo Anthony,SF,25,DEN,69,69,2634,13.2,28.9,.458,1.1,3.6,.316,12.1,25.3,.478,9.8,11.8,.830,2.9,5.8,8.7,4.3,1.7,0.6,4.0,4.3,37.4,,110,109,anthoca01
15,Joel Anthony,C,27,MIA,80,16,1322,3.1,6.4,.478,0.0,0.0,,3.1,6.4,.478,2.7,3.7,.717,5.0,5.1,10.1,0.5,0.8,4.4,1.8,6.4,8.8,,112,103,anthojo01
16,Gilbert Arenas,PG,28,WAS,32,32,1169,11.3,27.6,.411,2.8,8.1,.348,8.5,19.5,.437,6.9,9.3,.739,0.8,5.2,6.0,10.3,1.8,0.4,5.2,4.3,32.3,,103,110,arenagi01
17,Trevor Ariza,SF,24,HOU,72,71,2629,7.6,19.4,.394,2.6,7.9,.334,5.0,11.5,.436,2.9,4.4,.649,1.5,6.3,7.8,5.4,2.4,0.8,3.1,3.1,20.8,,99,106,arizatr01
18,Hilton Armstrong,PF-C,25,TOT,33,0,335,4.3,12.2,.354,0.0,0.2,.000,4.3,12.0,.359,2.3,4.9,.469,4.2,8.3,12.5,3.2,2.3,1.8,3.4,9.1,10.9,,83,106,armsthi01
18,Hilton Armstrong,PF,25,NOH,18,0,239,4.1,10.8,.380,0.0,0.0,,4.1,10.8,.380,2.8,6.1,.464,3.7,9.5,13.2,3.5,1.7,1.7,2.8,9.5,11.1,,89,107,armsthi01
18,Hilton Armstrong,C,25,SAC,6,0,56,3.6,10.9,.333,0.0,0.0,,3.6,10.9,.333,1.8,1.8,1.000,4.6,8.2,12.8,1.8,1.8,3.6,3.6,4.6,9.1,,81,105,armsthi01
18,Hilton Armstrong,C,25,HOU,9,0,40,6.4,21.7,.294,0.0,1.3,.000,6.4,20.4,.313,0.0,2.6,.000,6.4,1.3,7.7,3.8,6.4,0.0,6.4,12.8,12.8,,64,101,armsthi01
19,Carlos Arroyo,PG,30,MIA,72,35,1585,6.0,12.7,.475,0.2,0.8,.280,5.8,11.8,.489,2.6,3.0,.844,0.9,3.5,4.4,7.6,1.2,0.2,1.8,3.4,14.8,,115,108,arroyca01
20,Darrell Arthur,PF,21,MEM,32,1,457,7.1,16.4,.432,0.0,0.1,.000,7.1,16.3,.434,1.9,3.4,.567,4.2,8.2,12.3,1.7,1.6,1.6,2.5,6.7,16.1,,96,108,arthuda01
21,Chucky Atkins,PG,35,DET,40,11,644,4.8,13.2,.363,1.9,6.1,.301,2.9,7.1,.417,2.1,2.3,.926,0.4,2.0,2.4,7.7,1.4,0.0,2.7,4.5,13.6,,102,115,atkinch01
22,D.J. Augustin,PG,22,CHA,80,2,1472,6.1,15.7,.386,2.5,6.4,.393,3.5,9.3,.381,3.7,4.7,.779,0.4,3.1,3.5,7.0,1.6,0.2,2.7,4.6,18.3,,106,107,augusdj01
23,Jeff Ayres,C,22,POR,39,4,405,5.8,8.8,.662,0.0,0.0,,5.8,8.8,.662,2.4,2.7,.900,3.4,9.9,13.2,0.1,0.9,2.2,1.6,10.3,14.0,,130,105,pendeje02
24,Kelenna Azubuike,SF,26,GSW,9,7,231,9.9,18.2,.545,2.1,5.6,.370,7.9,12.6,.623,3.9,5.8,.679,2.5,6.0,8.5,2.1,1.0,1.9,1.4,3.3,25.9,,122,113,azubuke01
25,Renaldo Balkman,SF,25,DEN,13,1,91,3.3,10.0,.333,0.0,3.9,.000,3.3,6.1,.545,1.1,3.3,.333,2.2,10.6,12.8,3.9,4.5,1.1,3.3,8.9,7.8,,74,99,balkmre01
26,Marcus Banks,PG,28,TOR,22,0,244,8.2,15.4,.534,1.5,5.1,.292,6.8,10.4,.653,5.1,6.1,.828,0.6,4.2,4.9,5.5,2.5,0.4,4.2,6.3,23.0,,112,112,banksma01
27,Leandro Barbosa,PG,27,PHO,44,5,786,9.9,23.4,.425,2.8,8.7,.324,7.1,14.7,.485,4.1,4.7,.877,0.7,3.7,4.4,4.1,1.5,0.8,2.9,4.5,26.8,,105,112,barbole01
28,J.J. Barea,PG,25,DAL,78,18,1546,7.8,17.7,.440,1.9,5.3,.357,5.9,12.4,.476,2.6,3.0,.844,0.6,4.3,4.9,8.7,1.2,0.2,3.4,4.0,20.0,,104,110,bareajo01
29,Andrea Bargnani,PF,24,TOR,80,80,2799,9.9,21.1,.470,2.2,6.0,.372,7.7,15.1,.509,3.3,4.3,.774,1.9,7.2,9.1,1.7,0.5,2.0,2.2,4.0,25.4,,108,113,bargnan01
30,Matt Barnes,SF,29,ORL,81,58,2097,6.7,13.9,.487,1.6,5.1,.319,5.1,8.7,.586,2.7,3.6,.740,2.6,8.4,11.1,3.3,1.5,0.7,2.8,4.6,17.8,,111,103,barnema02
31,Earl Barron,C,28,NYK,7,6,232,6.6,15.0,.441,0.0,0.0,,6.6,15.0,.441,4.8,6.4,.759,6.8,10.1,17.0,1.8,0.9,0.9,2.4,5.3,18.1,,110,110,barroea01
32,Brandon Bass,PF,24,ORL,50,3,648,9.6,18.8,.511,0.0,0.0,,9.6,18.8,.511,4.2,5.1,.825,4.3,5.9,10.2,1.5,1.0,2.2,2.5,5.6,23.3,,112,104,bassbr01
33,Tony Battie,C,33,NJN,15,0,134,5.5,15.7,.350,0.4,1.6,.250,5.1,14.1,.361,2.7,3.9,.700,1.6,7.5,9.0,1.2,1.6,0.8,1.2,7.5,14.1,,88,110,battito01
34,Shane Battier,SG,31,HOU,67,62,2168,4.2,10.5,.398,2.4,6.6,.362,1.8,4.0,.458,1.8,2.5,.726,1.7,5.6,7.3,3.9,1.2,1.8,1.5,3.3,12.6,,114,108,battish01
35,Nicolas Batum,SF,21,POR,37,25,918,8.3,16.0,.519,3.2,7.9,.409,5.1,8.1,.625,2.6,3.0,.843,1.9,6.5,8.4,2.6,1.4,1.5,1.6,4.9,22.3,,127,107,batumni01
36,Jerryd Bayless,SG,21,POR,74,11,1304,8.4,20.3,.414,1.2,3.9,.315,7.2,16.4,.437,8.4,10.2,.831,0.8,4.3,5.0,7.2,1.1,0.2,3.9,6.4,26.4,,108,110,bayleje01
37,Michael Beasley,PF,21,MIA,78,78,2328,10.8,23.9,.450,0.6,2.3,.275,10.1,21.6,.469,4.4,5.5,.800,2.8,8.6,11.5,2.3,1.8,1.1,3.0,5.1,26.6,,101,103,beaslmi01
38,Rodrigue Beaubois,PG,21,DAL,56,16,700,11.5,22.2,.518,3.3,8.2,.409,8.2,14.0,.582,3.1,3.9,.808,0.9,4.9,5.8,5.5,2.1,0.9,4.0,6.2,29.4,,111,107,beaubro01
39,Marco Belinelli,SG,23,TOR,66,1,1121,7.1,17.4,.406,2.8,7.3,.380,4.3,10.2,.425,4.6,5.6,.835,0.6,3.7,4.4,4.1,1.9,0.2,2.8,3.7,21.6,,106,114,belinma01
40,Charlie Bell,SG,30,MIL,71,39,1611,5.5,14.4,.381,2.4,6.5,.365,3.1,7.9,.395,1.6,2.2,.716,1.0,3.3,4.3,3.4,1.3,0.4,1.8,4.4,14.9,,100,106,bellch01
41,Raja Bell,SG,33,TOT,6,5,180,8.1,17.8,.459,3.5,7.9,.444,4.7,9.9,.471,0.9,0.9,1.000,1.5,5.2,6.7,3.8,1.2,0.6,1.5,4.4,20.7,,116,107,bellra01
41,Raja Bell,SG,33,CHA,5,5,157,8.1,18.6,.436,3.0,8.1,.375,5.1,10.5,.484,1.0,1.0,1.000,1.7,5.4,7.1,3.4,1.4,0.7,1.7,4.4,20.3,,109,105,bellra01
41,Raja Bell,SG,33,GSW,1,0,23,8.3,12.5,.667,6.2,6.2,1.000,2.1,6.2,.333,0.0,0.0,,0.0,4.2,4.2,6.2,0.0,0.0,0.0,4.2,22.9,,184,118,bellra01
42,Jonathan Bender,SF,29,NYK,25,1,292,7.0,17.5,.400,2.4,6.8,.359,4.5,10.7,.426,4.2,4.5,.923,2.6,6.5,9.1,2.8,0.3,3.0,4.9,5.8,20.6,,94,112,bendejo01
43,Mike Bibby,PG,31,ATL,80,80,2195,6.5,15.6,.416,3.1,7.9,.389,3.4,7.8,.444,1.7,1.9,.861,0.5,4.0,4.5,7.5,1.6,0.1,2.2,3.8,17.7,,113,110,bibbymi01
44,Andris Biedriņš,C,23,GSW,33,29,763,5.1,8.6,.591,0.0,0.0,,5.1,8.6,.591,0.3,1.6,.160,3.9,12.3,16.2,3.6,1.3,2.8,2.0,7.3,10.4,,113,107,biedran01
45,Chauncey Billups,PG,33,DEN,73,73,2490,8.2,19.6,.418,3.2,8.3,.386,5.0,11.3,.441,9.5,10.4,.910,0.5,4.1,4.6,8.3,1.7,0.2,3.6,3.1,29.0,,120,110,billuch01
46,DeJuan Blair,PF,20,SAS,82,23,1494,9.6,17.3,.556,0.0,0.1,.000,9.6,17.3,.558,3.1,5.6,.547,7.0,11.4,18.4,2.3,1.8,1.4,3.9,7.9,22.4,,108,101,blairde01
47,Steve Blake,PG,29,TOT,80,38,2159,5.4,13.0,.416,2.9,7.3,.395,2.5,5.7,.443,0.9,1.2,.750,0.5,4.1,4.6,9.4,1.4,0.1,3.2,3.1,14.6,,108,111,blakest01
47,Steve Blake,PG,29,POR,51,28,1397,5.6,13.9,.403,3.1,8.1,.377,2.5,5.8,.439,0.9,1.3,.750,0.6,4.0,4.6,8.0,1.4,0.1,2.5,3.3,15.2,,109,110,blakest01
47,Steve Blake,PG,29,LAC,29,10,762,5.0,11.4,.443,2.6,5.9,.437,2.4,5.4,.450,0.8,1.1,.750,0.4,4.3,4.7,12.0,1.4,0.3,4.3,2.7,13.5,,107,113,blakest01
48,Andray Blatche,PF,23,WAS,81,36,2256,11.1,23.2,.478,0.3,1.0,.295,10.8,22.2,.487,4.0,5.4,.744,3.7,8.1,11.8,3.9,2.0,1.6,4.2,5.1,26.5,,101,106,blatcan01
