Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Tariq Abdul-Wahad,SG,28,DAL,14,0,204,6.9,14.7,.466,0.0,0.3,.000,6.9,14.5,.474,0.8,1.5,.500,3.6,6.6,10.2,5.3,1.5,0.8,1.8,6.6,14.5,,106,103,abdulta01
2,Shareef Abdur-Rahim,PF,26,ATL,81,81,3087,9.7,20.2,.478,0.4,1.0,.350,9.3,19.2,.485,7.8,9.2,.841,3.0,8.6,11.6,4.1,1.5,0.6,3.6,4.1,27.5,,111,106,abdursh01
3,Courtney Alexander,PG,25,NOH,66,7,1360,7.6,19.9,.382,0.8,2.3,.333,6.9,17.7,.388,4.7,5.8,.808,1.5,3.1,4.7,3.1,1.2,0.2,2.7,4.9,20.7,,96,106,alexaco02
4,Malik Allen,PF,24,MIA,80,73,2318,7.9,18.6,.424,0.0,0.1,.000,7.9,18.5,.426,2.3,2.9,.802,3.2,6.9,10.0,1.3,0.9,1.8,3.0,5.5,18.1,,89,103,allenma01
5,Ray Allen*,SG,27,TOT,76,75,2880,11.1,25.4,.439,3.7,9.9,.377,7.4,15.5,.478,5.9,6.4,.916,1.8,5.3,7.1,6.2,1.9,0.3,3.7,4.1,31.9,,111,108,allenra02
5,Ray Allen*,SG,27,MIL,47,46,1683,11.1,25.3,.437,3.9,9.8,.395,7.2,15.5,.463,5.6,6.2,.913,1.4,5.5,6.9,5.2,1.8,0.3,3.7,4.7,31.6,,109,110,allenra02
5,Ray Allen*,SG,27,SEA,29,29,1197,11.2,25.5,.441,3.6,10.1,.351,7.7,15.4,.500,6.3,6.8,.920,2.2,5.2,7.4,7.7,2.1,0.1,3.7,3.2,32.3,,114,105,allenra02
6,Rafer Alston,PG,26,TOR,47,4,980,7.6,18.3,.415,2.8,7.1,.392,4.8,11.2,.429,2.0,2.9,.685,1.1,4.7,5.8,10.5,2.1,0.8,4.7,6.5,19.9,,100,108,alstora01
7,John Amaechi,C,32,UTA,50,1,474,4.2,13.4,.314,0.0,0.0,,4.2,13.4,.314,2.8,5.9,.481,2.9,5.8,8.7,2.4,1.6,0.8,3.9,5.7,11.2,,73,105,amaecjo01
8,Chris Andersen,C,24,DEN,59,3,907,6.6,16.6,.400,0.0,0.1,.000,6.6,16.5,.401,4.5,8.1,.550,6.3,9.6,15.9,1.9,1.7,3.5,3.5,5.2,17.7,,91,97,anderch01
