Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Shareef Abdur-Rahim,PF,28,POR,54,49,1867,9.6,19.2,.503,0.4,1.1,.385,9.2,18.1,.510,6.3,7.3,.866,3.5,7.7,11.2,3.2,1.4,0.7,3.3,4.3,26.0,,113,108,abdursh01
2,Cory Alexander,SG,31,CHA,16,1,201,4.1,12.7,.327,2.1,4.9,.421,2.1,7.8,.267,2.3,3.1,.750,2.1,5.4,7.5,9.6,2.3,0.3,4.9,7.5,12.7,,91,108,alexaco01
3,Malik Allen,PF,26,TOT,36,1,519,8.5,17.9,.475,0.0,0.0,,8.5,17.9,.475,2.6,2.8,.929,4.0,6.0,10.0,1.8,0.9,2.2,1.8,5.4,19.6,,108,106,allenma01
3,Malik Allen,PF,26,MIA,14,0,248,7.5,16.2,.461,0.0,0.0,,7.5,16.2,.461,2.8,3.0,.929,5.1,6.0,11.1,2.3,0.9,2.3,2.3,6.2,17.7,,107,104,allenma01
3,Malik Allen,PF,26,CHA,22,1,271,9.4,19.4,.485,0.0,0.0,,9.4,19.4,.485,2.5,2.7,.929,3.1,6.0,9.0,1.3,1.0,2.1,1.3,4.6,21.3,,108,109,allenma01
4,Ray Allen*,SG,29,SEA,78,78,3064,11.4,26.6,.428,3.7,9.9,.376,7.7,16.7,.459,6.7,7.6,.883,1.4,4.8,6.2,5.2,1.5,0.1,3.0,3.0,33.3,,117,112,allenra02
5,Tony Allen,SG,23,BOS,77,34,1262,7.5,15.8,.475,0.5,1.3,.387,7.0,14.5,.483,4.6,6.2,.737,3.5,5.5,9.0,2.6,3.1,1.0,3.1,6.4,20.1,,106,104,allento01
6,Rafer Alston,PG,28,TOR,80,78,2717,7.7,18.6,.414,2.6,7.4,.357,5.0,11.2,.451,3.6,4.9,.740,0.8,4.5,5.3,9.8,2.2,0.1,3.2,4.0,21.7,,108,109,alstora01
7,Chris Andersen,C,26,NOH,67,2,1430,7.3,13.7,.534,0.0,0.1,.000,7.3,13.6,.538,5.0,7.3,.689,5.3,10.5,15.7,2.7,0.5,3.8,2.5,5.5,19.7,,116,104,anderch01
8,Derek Anderson,SG,30,POR,47,32,1239,6.6,16.9,.389,2.5,6.5,.384,4.1,10.4,.392,3.0,3.8,.805,1.1,4.4,5.5,6.2,1.6,0.2,3.0,3.8,18.6,,103,111,anderde01
9,Kenny Anderson,PG,34,TOT,43,20,743,6.0,14.2,.423,0.4,0.9,.462,5.6,13.3,.420,1.9,2.6,.730,1.7,4.5,6.2,7.3,2.3,0.0,3.5,6.2,14.4,,96,112,anderke01
9,Kenny Anderson,PG,34,ATL,39,20,717,5.9,13.9,.426,0.4,1.0,.462,5.5,13.0,.424,2.0,2.7,.730,1.7,4.4,6.1,7.2,2.4,0.0,3.4,5.9,14.3,,97,112,anderke01
9,Kenny Anderson,PG,34,LAC,4,0,26,8.3,22.8,.364,0.0,0.0,,8.3,22.8,.364,0.0,0.0,,2.1,8.3,10.4,10.4,0.0,0.0,6.2,12.4,16.6,,77,110,anderke01
10,Shandon Anderson,SF-SG,31,TOT,66,5,1171,4.4,9.8,.452,0.2,1.3,.172,4.2,8.5,.495,2.4,3.0,.818,1.9,6.8,8.6,3.2,1.8,0.6,2.3,6.2,11.5,,103,103,andersh01
10,Shandon Anderson,SG,31,NYK,1,0,20,0.0,5.3,.000,0.0,2.6,.000,0.0,2.6,.000,0.0,0.0,,2.6,0.0,2.6,0.0,0.0,0.0,2.6,5.3,0.0,,23,117,andersh01
10,Shandon Anderson,SF,31,MIA,65,5,1151,4.5,9.9,.456,0.2,1.3,.179,4.3,8.6,.497,2.5,3.0,.818,1.8,6.9,8.7,3.2,1.8,0.6,2.3,6.2,11.7,,104,103,andersh01
11,Carmelo Anthony,SF,20,DEN,75,75,2608,10.4,24.2,.431,0.8,3.1,.266,9.6,21.1,.455,9.0,11.3,.796,2.8,5.6,8.4,3.8,1.3,0.6,4.4,4.5,30.7,,103,107,anthoca01
12,Rafael Araújo,C,24,TOR,59,41,736,5.3,12.3,.434,0.1,0.2,.333,5.3,12.1,.436,3.0,3.9,.782,4.2,8.9,13.0,1.1,1.5,0.6,3.7,11.0,13.8,,92,107,araujra01
13,Gilbert Arenas,PG,23,WAS,80,80,3274,10.3,23.9,.431,3.2,8.8,.365,7.1,15.1,.469,8.2,10.1,.814,1.3,4.6,5.9,6.5,2.2,0.4,3.8,3.8,32.0,,115,109,arenagi01
14,Trevor Ariza,SF,19,NYK,80,12,1382,6.6,14.9,.442,0.1,0.5,.231,6.5,14.4,.449,4.6,6.7,.695,3.4,5.9,9.3,3.3,2.7,0.7,2.8,5.7,17.9,,103,107,arizatr01
15,Darrell Armstrong,PG,36,TOT,66,16,988,4.8,14.9,.321,1.5,6.0,.252,3.3,8.9,.367,3.1,3.6,.853,1.9,4.3,6.2,9.5,2.4,0.4,3.6,4.9,14.2,,96,106,armstda01
15,Darrell Armstrong,PG,36,NOH,14,9,412,7.1,21.2,.333,2.3,9.3,.243,4.8,11.8,.404,2.5,2.8,.905,2.1,4.3,6.4,8.6,2.0,0.3,3.7,4.0,18.9,,92,109,armstda01
15,Darrell Armstrong,PG,36,DAL,52,7,576,3.2,10.6,.305,1.0,3.7,.268,2.2,6.9,.325,3.5,4.2,.830,1.7,4.3,6.0,10.2,2.7,0.5,3.5,5.6,11.0,,100,105,armstda01
16,Carlos Arroyo,PG,25,TOT,70,16,1448,6.3,16.2,.389,0.3,1.1,.267,6.0,15.1,.398,4.5,5.6,.799,1.0,2.9,3.9,10.6,1.7,0.2,4.0,5.4,17.4,,99,109,arroyca01
16,Carlos Arroyo,PG,25,UTA,30,16,742,6.8,17.0,.401,0.5,1.3,.389,6.3,15.7,.402,3.9,4.6,.841,0.8,2.6,3.4,11.1,1.5,0.2,4.0,4.9,18.0,,101,113,arroyca01
16,Carlos Arroyo,PG,25,DET,40,0,706,5.8,15.4,.376,0.1,0.9,.083,5.7,14.4,.395,5.1,6.7,.767,1.2,3.4,4.5,10.0,1.9,0.1,4.1,5.9,16.8,,98,104,arroyca01
17,Chucky Atkins,PG,30,LAL,82,82,2903,7.1,16.6,.426,3.2,8.3,.387,3.9,8.3,.466,3.0,3.7,.803,0.6,3.0,3.6,6.5,1.3,0.0,2.7,3.3,20.3,,112,115,atkinch01
18,Stacey Augmon,SF,36,ORL,55,7,663,5.2,12.8,.407,0.0,0.0,,5.2,12.8,.407,4.4,5.9,.740,3.4,4.1,7.6,2.8,1.8,0.6,2.4,6.3,14.8,,102,109,augmost01
19,Maurice Baker,PG,25,TOT,5,0,19,0.0,2.8,.000,0.0,0.0,,0.0,2.8,.000,0.0,0.0,,2.8,2.8,5.6,2.8,2.8,0.0,2.8,8.4,0.0,,48,109,bakerma01
19,Maurice Baker,PG,25,LAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116,bakerma01
19,Maurice Baker,PG,25,POR,4,0,18,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,0.0,0.0,,3.0,3.0,5.9,3.0,3.0,0.0,3.0,8.9,0.0,,48,109,bakerma01
20,Vin Baker,PF-C,33,TOT,27,0,204,3.4,10.9,.310,0.0,0.3,.000,3.4,10.7,.317,2.3,4.4,.529,4.4,5.7,10.1,2.6,0.5,1.0,4.4,9.9,9.1,,73,111,bakervi01
20,Vin Baker,PF,33,NYK,24,0,191,3.6,10.5,.342,0.0,0.3,.000,3.6,10.3,.351,1.9,4.2,.467,4.7,5.5,10.3,2.5,0.6,1.1,4.2,8.6,9.1,,77,111,bakervi01
20,Vin Baker,C,33,HOU,3,0,13,0.0,16.6,.000,0.0,0.0,,0.0,16.6,.000,8.3,8.3,1.000,0.0,8.3,8.3,4.2,0.0,0.0,8.3,29.1,8.3,,40,104,bakervi01
21,Marcus Banks,PG,23,BOS,81,2,1145,5.2,12.9,.402,0.9,2.7,.356,4.2,10.2,.414,5.4,7.3,.742,1.3,4.4,5.7,7.0,2.8,0.6,3.6,6.6,16.7,,104,106,banksma01
22,Leandro Barbosa,PG,22,PHO,63,6,1087,7.7,16.3,.475,2.3,6.4,.367,5.4,9.9,.544,2.5,3.2,.797,1.5,4.5,6.0,5.8,1.4,0.3,4.0,5.8,20.3,,107,110,barbole01
23,Matt Barnes,SF,24,SAC,43,9,715,4.5,10.9,.411,0.4,1.6,.227,4.1,9.3,.442,2.5,4.2,.603,3.5,6.1,9.6,4.1,2.2,0.5,3.2,5.8,11.8,,95,108,barnema02
24,Andre Barrett,PG,22,TOT,38,1,483,4.9,13.6,.363,1.5,5.7,.269,3.4,7.9,.431,1.5,2.1,.737,1.2,3.2,4.4,7.5,2.1,0.1,3.0,5.6,12.9,,96,106,barrean01
24,Andre Barrett,PG,22,HOU,27,0,314,3.4,11.9,.290,1.6,6.4,.243,1.9,5.5,.344,1.2,1.7,.700,0.9,2.4,3.3,7.2,2.4,0.0,2.8,6.0,9.6,,87,104,barrean01
24,Andre Barrett,PG,22,ORL,11,1,169,7.5,16.5,.455,1.5,4.5,.333,6.0,12.0,.500,2.1,2.7,.778,1.8,4.5,6.3,8.1,1.5,0.3,3.3,4.8,18.6,,108,110,barrean01
25,Brent Barry,SG,33,SAS,81,8,1742,6.0,14.2,.423,3.1,8.7,.357,2.9,5.5,.525,3.5,4.2,.837,0.9,5.0,5.9,5.5,1.2,0.6,2.0,3.8,18.6,,119,102,barrybr01
26,Jon Barry,SG,35,TOT,69,2,1505,5.8,13.2,.438,2.5,5.9,.430,3.2,7.3,.443,2.2,2.5,.873,0.9,4.8,5.7,6.0,2.1,0.3,2.4,3.4,16.3,,113,105,barryjo01
26,Jon Barry,SG,35,ATL,16,0,275,5.9,14.7,.403,2.1,6.1,.344,3.8,8.6,.444,1.9,2.5,.769,0.8,3.2,4.0,5.3,2.7,0.4,2.7,5.3,15.8,,102,111,barryjo01
26,Jon Barry,SG,35,HOU,53,2,1230,5.7,12.8,.447,2.6,5.8,.451,3.1,6.9,.443,2.3,2.6,.897,1.0,5.1,6.1,6.1,2.0,0.3,2.3,2.9,16.4,,116,103,barryjo01
27,Tony Battie,C,28,ORL,81,32,1894,4.4,9.5,.460,0.0,0.2,.000,4.4,9.3,.468,1.8,2.5,.723,2.9,9.2,12.1,1.1,0.8,2.2,2.2,6.5,10.5,,98,106,battito01
28,Shane Battier,SG,26,MEM,80,72,2516,5.8,13.2,.442,1.5,3.8,.395,4.3,9.4,.461,3.9,4.9,.789,3.4,5.5,8.9,2.7,2.0,1.7,1.6,4.3,17.1,,117,103,battish01
29,Lonny Baxter,PF,26,NOH,4,0,36,4.6,16.7,.273,0.0,0.0,,4.6,16.7,.273,0.0,3.0,.000,6.1,6.1,12.2,0.0,0.0,0.0,6.1,15.2,9.1,,52,112,baxtelo01
30,Raja Bell,SG,28,UTA,63,32,1790,9.2,20.2,.454,1.6,4.1,.403,7.6,16.2,.467,3.4,4.6,.747,1.5,4.6,6.1,2.8,1.3,0.2,2.4,6.2,23.4,,105,112,bellra01
31,Jonathan Bender,SF,24,IND,7,0,93,9.5,23.7,.400,0.6,3.0,.200,8.9,20.7,.429,1.8,3.6,.500,3.0,5.3,8.3,2.4,0.6,1.2,5.9,5.3,21.3,,77,108,bendejo01
32,Travis Best,PG,32,NJN,76,6,1461,7.0,16.7,.420,1.0,3.1,.306,6.0,13.5,.447,4.0,4.5,.885,0.7,3.2,3.9,5.3,2.4,0.3,2.5,5.5,19.0,,102,105,besttr01
33,Mike Bibby,PG,26,SAC,80,80,3084,9.4,21.1,.443,2.2,6.1,.360,7.2,15.1,.477,5.4,6.9,.775,1.3,4.3,5.6,9.0,2.1,0.5,3.4,3.2,26.3,,112,110,bibbymi01
34,Andris Biedriņš,C,18,GSW,30,1,384,6.0,10.5,.577,0.0,0.1,.000,6.0,10.3,.584,2.5,5.4,.475,6.3,9.5,15.8,1.6,1.6,3.2,1.6,11.7,14.6,,119,102,biedran01
35,Chauncey Billups,PG,28,DET,80,80,2866,7.8,17.5,.442,3.2,7.4,.426,4.6,10.1,.454,6.6,7.3,.898,0.9,4.3,5.2,8.9,1.6,0.2,3.5,3.7,25.3,,121,105,billuch01
36,Steve Blake,PG,24,WAS,44,1,648,4.8,14.8,.328,2.9,7.4,.387,2.0,7.4,.269,2.6,3.3,.805,1.4,4.2,5.6,5.5,1.0,0.0,3.1,3.7,15.2,,98,112,blakest01
37,Mark Blount,C,29,BOS,82,57,2130,7.9,14.9,.529,0.0,0.0,.000,7.9,14.9,.530,2.8,4.0,.713,3.5,6.1,9.6,3.1,0.8,1.5,3.8,5.5,18.6,,103,108,blounma01
38,Tony Bobbitt,SG,25,LAL,2,0,12,8.8,22.0,.400,4.4,8.8,.500,4.4,13.2,.333,0.0,0.0,,0.0,13.2,13.2,0.0,0.0,0.0,0.0,4.4,22.0,,106,111,bobbito01
39,Keith Bogans,SG,24,CHA,74,42,1791,7.6,20.0,.381,1.7,5.0,.329,6.0,15.0,.398,3.9,5.3,.727,2.2,4.4,6.6,3.9,2.0,0.2,3.5,4.9,20.7,,93,110,boganke01
40,Matt Bonner,C,24,TOR,82,0,1553,8.2,15.4,.533,1.3,3.1,.424,6.9,12.4,.561,1.9,2.4,.789,3.6,5.9,9.5,1.6,1.3,0.6,1.3,7.3,19.6,,120,110,bonnema01
41,Calvin Booth,C,28,TOT,51,1,451,5.7,12.5,.454,0.0,0.1,.000,5.7,12.4,.458,3.0,3.7,.813,3.4,9.0,12.4,0.9,1.7,3.2,1.9,9.0,14.4,,105,102,boothca01
41,Calvin Booth,C,28,DAL,34,1,262,6.7,15.6,.430,0.0,0.2,.000,6.7,15.4,.436,2.8,3.2,.875,3.2,8.3,11.5,0.8,2.2,3.2,1.6,10.9,16.2,,102,100,boothca01
41,Calvin Booth,C,28,MIL,17,0,189,4.2,8.1,.517,0.0,0.0,,4.2,8.1,.517,3.4,4.5,.750,3.6,10.1,13.7,1.1,1.1,3.4,2.2,6.4,11.8,,111,106,boothca01
42,Carlos Boozer,PF,23,UTA,51,51,1772,11.1,21.2,.521,0.0,0.0,.000,11.1,21.2,.522,5.7,8.2,.698,4.3,9.7,14.0,4.4,1.3,0.7,4.2,5.5,27.9,,108,108,boozeca01
