Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,10.0,21.0,.475,0.2,0.7,.265,9.8,20.4,.482,7.4,8.6,.869,3.8,9.0,12.8,3.5,1.4,0.7,3.7,4.4,27.6,,110,105,abdursh01
1,Shareef Abdur-Rahim,PF,27,ATL,53,53,1956,10.3,21.3,.485,0.1,0.6,.217,10.2,20.7,.493,7.9,9.0,.880,3.8,9.6,13.4,3.4,1.2,0.5,3.5,4.0,28.8,,112,106,abdursh01
1,Shareef Abdur-Rahim,PF,27,POR,32,3,728,9.0,20.2,.447,0.3,0.8,.364,8.7,19.3,.451,6.0,7.3,.832,3.7,7.3,11.0,3.6,1.8,1.4,4.1,5.7,24.4,,103,104,abdursh01
2,Malik Allen,PF,25,MIA,45,6,616,7.4,17.5,.419,0.0,0.0,,7.4,17.5,.419,2.2,2.9,.758,3.7,6.8,10.5,1.4,1.1,2.5,2.4,7.2,16.9,,93,101,allenma01
3,Ray Allen*,SG,28,SEA,56,56,2152,11.1,25.2,.440,3.7,9.4,.392,7.4,15.8,.468,6.1,6.7,.904,1.7,5.4,7.1,6.6,1.8,0.3,3.9,3.3,31.9,,112,110,allenra02
4,Rafer Alston,PG,27,MIA,82,28,2581,6.1,16.2,.376,3.4,9.2,.371,2.7,7.0,.382,2.2,2.8,.769,0.5,4.2,4.8,7.9,2.4,0.4,2.7,4.5,17.7,,105,102,alstora01
5,Chris Andersen,PF,25,DEN,71,0,1029,4.5,10.1,.443,0.0,0.0,.000,4.5,10.1,.446,3.1,5.3,.589,4.4,10.4,14.9,1.7,1.7,5.7,2.4,5.9,12.1,,100,96,anderch01
6,Derek Anderson,SG,29,POR,51,46,1810,7.1,18.8,.376,2.4,8.0,.305,4.6,10.9,.428,4.8,5.8,.824,0.8,4.8,5.6,7.0,2.0,0.1,2.8,2.4,21.3,,107,107,anderde01
7,Kenny Anderson,PG,33,IND,44,31,905,6.8,15.5,.441,0.1,0.2,.250,6.8,15.3,.444,2.1,2.9,.729,1.2,3.8,4.9,7.6,1.6,0.3,3.0,4.4,15.9,,98,101,anderke01
8,Shandon Anderson,SG,30,NYK,80,37,1974,6.5,15.3,.422,1.0,3.5,.281,5.5,11.8,.463,3.3,4.4,.764,1.4,4.6,6.0,3.3,1.8,0.5,3.2,4.9,17.2,,96,105,andersh01
9,Carmelo Anthony,SF,19,DEN,82,82,2995,10.7,25.2,.426,1.2,3.7,.322,9.5,21.5,.444,7.0,9.0,.777,3.1,5.4,8.6,3.9,1.7,0.7,4.2,3.9,29.6,,102,105,anthoca01
10,Robert Archibald,C-PF,23,TOT,32,3,256,1.9,7.1,.273,0.0,0.0,,1.9,7.1,.273,3.0,6.7,.452,4.5,6.7,11.2,2.8,3.0,0.6,2.2,10.8,6.9,,84,98,archiro01
10,Robert Archibald,PF,23,PHO,1,0,6,0.0,8.6,.000,0.0,0.0,,0.0,8.6,.000,8.6,17.3,.500,0.0,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,,52,109,archiro01
10,Robert Archibald,PF,23,ORL,1,0,4,13.2,26.4,.500,0.0,0.0,,13.2,26.4,.500,0.0,26.4,.000,0.0,13.2,13.2,0.0,13.2,0.0,0.0,0.0,26.4,,66,82,archiro01
10,Robert Archibald,C,23,TOR,30,3,246,1.8,6.7,.267,0.0,0.0,,1.8,6.7,.267,2.9,6.1,.481,4.7,6.5,11.2,2.7,2.9,0.7,2.0,11.0,6.5,,86,98,archiro01
11,Gilbert Arenas,PG,22,WAS,55,52,2066,9.0,23.0,.392,3.1,8.4,.375,5.9,14.6,.401,6.0,8.0,.748,1.4,5.0,6.4,6.9,2.6,0.3,5.7,4.4,27.1,,98,105,arenagi01
