Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns*,82,19780,42.4,88.8,.477,10.1,25.6,.393,32.3,63.1,.512,19.7,26.3,.748,12.2,33.5,45.8,24.4,7.2,5.7,14.2,19.8,114.5
2,Seattle SuperSonics*,82,19755,39.8,89.8,.444,9.2,25.2,.365,30.6,64.6,.474,23.3,29.5,.790,14.4,31.9,46.3,20.6,7.6,4.7,15.4,26.9,112.2
3,Sacramento Kings*,82,19855,41.6,90.7,.459,6.8,18.1,.374,34.8,72.5,.480,20.5,26.0,.787,13.3,31.9,45.2,26.0,8.8,4.1,13.9,21.9,110.5
4,Dallas Mavericks*,82,19730,40.1,87.8,.457,6.1,16.7,.364,34.0,71.1,.479,24.0,30.4,.789,13.0,33.2,46.2,21.1,9.3,6.0,14.5,24.0,110.3
5,Miami Heat*,82,19980,41.0,84.3,.486,6.3,16.7,.377,34.7,67.6,.513,21.9,32.6,.672,11.7,34.9,46.7,23.7,7.0,6.3,14.9,24.0,110.2
6,Minnesota Timberwolves,82,19755,41.5,90.4,.459,5.4,15.6,.345,36.1,74.8,.483,19.8,24.8,.796,12.9,35.2,48.1,26.2,6.3,6.1,14.7,24.2,108.2
7,Los Angeles Lakers,82,19780,38.7,88.6,.437,8.6,24.2,.355,30.1,64.3,.467,22.2,28.5,.777,13.7,33.5,47.3,22.3,6.8,4.6,15.7,24.0,108.1
8,Boston Celtics*,82,19880,39.4,84.3,.468,5.7,16.2,.349,33.8,68.1,.496,23.0,30.1,.764,11.8,31.6,43.3,23.4,8.6,5.5,16.8,25.9,107.5
9,San Antonio Spurs*,82,19805,39.8,87.9,.453,6.9,19.0,.363,32.9,68.9,.478,20.9,28.9,.724,13.5,33.9,47.4,24.1,8.4,7.4,15.3,23.4,107.5
10,Washington Wizards*,82,19780,38.6,88.4,.437,6.7,19.5,.343,31.9,68.9,.463,23.3,32.2,.725,14.7,30.9,45.6,20.3,9.3,4.5,15.2,23.5,107.2
11,Toronto Raptors,82,19805,38.6,87.0,.444,8.5,22.0,.385,30.1,65.0,.463,21.3,27.5,.774,11.0,32.0,43.0,21.8,8.1,4.1,14.2,24.5,106.9
12,Milwaukee Bucks,82,19780,39.6,87.9,.450,4.3,12.4,.351,35.3,75.6,.467,23.0,29.8,.772,13.2,32.1,45.3,23.0,7.1,3.9,15.1,24.0,106.6
13,Cleveland Cavaliers,82,19855,40.3,90.1,.447,4.0,12.2,.332,36.2,77.9,.465,22.0,29.3,.752,15.0,31.7,46.7,24.9,8.8,6.2,15.4,24.9,106.6
14,Houston Rockets*,82,19855,38.8,87.4,.443,7.5,20.7,.364,31.2,66.7,.468,21.1,27.0,.781,11.9,35.4,47.3,23.6,7.7,5.1,15.5,24.6,106.2
15,New York Knicks,82,19880,39.7,87.9,.451,5.9,16.5,.356,33.8,71.4,.473,21.0,27.4,.767,12.8,31.9,44.7,22.2,8.4,3.5,16.0,25.9,106.2
16,Denver Nuggets*,82,19755,39.5,85.9,.459,4.2,12.2,.340,35.3,73.7,.479,22.9,30.0,.763,12.6,32.1,44.7,25.4,9.7,6.4,15.9,24.4,106.0
