Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
17,Detroit Pistons*,82,19955,39.3,88.6,.444,5.0,14.5,.345,34.3,74.1,.463,21.9,29.7,.739,14.5,34.6,49.1,24.7,7.9,6.9,15.6,22.6,105.6
18,Los Angeles Clippers,82,20030,39.3,85.6,.459,3.1,9.0,.345,36.2,76.6,.473,23.8,30.6,.778,13.2,33.0,46.2,25.6,8.1,5.7,17.3,24.5,105.5
19,Memphis Grizzlies*,82,19705,38.6,86.3,.447,7.3,20.5,.357,31.3,65.9,.475,21.0,27.9,.754,12.2,31.8,44.0,23.6,9.6,6.6,16.5,26.3,105.5
20,Indiana Pacers*,82,19905,36.9,85.3,.432,7.5,21.8,.344,29.4,63.5,.463,24.2,30.5,.792,12.0,33.4,45.4,20.6,8.5,4.9,16.2,26.1,105.5
21,Orlando Magic,82,19705,39.0,85.9,.454,4.1,11.8,.349,34.9,74.1,.471,22.8,30.0,.759,13.3,32.7,46.1,20.4,8.1,5.7,17.0,24.9,104.9
22,Golden State Warriors,82,19905,39.2,91.0,.430,8.1,22.9,.352,31.1,68.1,.457,18.3,25.3,.722,13.8,31.5,45.3,23.4,8.3,5.4,14.4,23.7,104.7
23,Utah Jazz,82,19780,38.8,86.5,.449,3.4,10.5,.328,35.4,76.1,.465,23.6,31.2,.757,14.4,30.8,45.2,25.1,7.4,5.1,17.7,30.1,104.7
24,Philadelphia 76ers*,82,19855,37.5,85.8,.437,6.4,18.5,.348,31.1,67.3,.462,22.0,27.9,.789,11.6,32.3,43.9,21.8,9.6,4.1,16.2,23.9,103.5
25,Portland Trail Blazers,82,19730,39.2,87.0,.451,5.7,15.7,.362,33.5,71.3,.471,19.1,26.3,.725,13.1,32.6,45.7,23.3,7.9,7.4,17.7,23.1,103.2
26,New Jersey Nets*,82,19905,37.3,86.9,.429,5.9,16.3,.362,31.4,70.6,.444,21.0,27.6,.763,11.6,32.3,43.9,24.0,8.8,4.2,15.8,26.9,101.4
27,Chicago Bulls*,82,19830,37.3,86.3,.432,6.7,18.8,.357,30.6,67.5,.453,20.1,26.8,.750,13.1,33.9,47.0,22.8,7.5,4.8,17.9,26.6,101.4
28,Charlotte Bobcats,82,19880,38.7,89.7,.432,4.2,11.5,.363,34.6,78.2,.442,19.5,27.4,.709,14.2,30.6,44.7,23.5,9.1,5.8,15.6,24.8,101.1
29,Atlanta Hawks,82,19855,38.9,88.2,.441,4.0,12.9,.312,34.9,75.4,.463,18.7,26.4,.711,14.5,30.9,45.4,21.3,8.3,4.5,17.4,26.6,100.6
30,New Orleans Hornets,82,19930,37.4,90.2,.415,5.7,18.1,.315,31.7,72.1,.440,19.3,25.2,.766,14.0,31.4,45.4,23.7,7.6,4.3,16.7,25.9,99.7
