Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks*,82,19780,41.0,89.5,.458,7.4,19.5,.379,33.6,70.0,.480,19.4,24.7,.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8
2,Los Angeles Lakers*,82,19905,40.9,87.9,.465,5.8,16.8,.344,35.1,71.1,.494,20.9,30.7,.683,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4
3,Utah Jazz*,82,19780,40.0,85.0,.471,4.4,11.5,.381,35.6,73.5,.485,23.2,30.8,.752,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,107.6
4,Dallas Mavericks*,82,19805,40.1,87.3,.459,6.7,17.6,.381,33.4,69.7,.479,20.2,25.4,.794,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,107.1
5,Houston Rockets,82,19830,39.4,86.9,.453,6.7,18.9,.357,32.7,68.0,.480,21.2,27.9,.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7
6,San Antonio Spurs*,82,19830,39.0,84.6,.461,6.0,14.8,.407,33.0,69.8,.472,22.6,31.6,.715,12.2,36.6,48.8,24.0,7.7,7.8,15.5,21.0,106.6
7,Portland Trail Blazers*,82,19780,40.9,87.3,.468,5.0,14.4,.349,35.9,73.0,.492,19.7,25.8,.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5
8,Toronto Raptors*,82,19955,40.3,92.2,.437,5.7,15.4,.369,34.6,76.8,.451,19.6,26.2,.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9
9,Sacramento Kings*,82,20080,39.7,88.2,.449,6.1,17.1,.354,33.6,71.1,.472,20.3,26.3,.771,12.5,34.2,46.7,23.4,10.0,5.5,15.5,20.2,105.6
10,Seattle SuperSonics,82,19805,40.1,88.0,.456,6.2,15.5,.399,33.9,72.5,.468,19.2,26.3,.732,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6
11,Minnesota Timberwolves*,82,19830,41.5,90.5,.458,4.2,11.9,.357,37.2,78.7,.473,18.0,22.9,.785,13.2,32.6,45.8,27.5,9.0,6.0,15.0,25.0,105.2
12,Denver Nuggets,82,19780,39.0,90.1,.433,6.7,18.9,.355,32.3,71.2,.454,19.0,25.7,.737,13.7,33.8,47.5,25.8,7.2,7.0,14.9,23.8,103.7
13,Philadelphia 76ers*,82,19855,38.7,86.6,.447,3.5,10.7,.326,35.2,75.8,.464,22.6,30.4,.745,14.3,34.7,49.0,22.6,9.2,5.4,17.2,22.3,103.6
14,Orlando Magic*,82,19955,38.9,88.7,.438,6.3,17.4,.364,32.6,71.4,.456,19.1,26.7,.714,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2
15,Indiana Pacers*,82,19980,38.0,86.4,.440,5.3,15.6,.342,32.7,70.8,.461,20.7,27.0,.766,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,102.0
16,Charlotte Hornets*,82,19880,37.8,87.8,.431,4.6,13.3,.346,33.2,74.5,.446,21.6,29.0,.745,13.9,35.2,49.2,25.7,9.0,6.1,16.0,23.7,101.8
17,Boston Celtics,82,19830,36.3,84.8,.428,7.7,21.3,.363,28.5,63.4,.450,21.2,28.6,.740,11.7,30.9,42.7,22.3,10.1,4.4,16.8,25.5,101.4
18,Los Angeles Clippers,82,20030,38.7,86.4,.448,4.8,14.2,.339,33.9,72.2,.469,19.1,27.5,.693,12.9,34.2,47.1,21.2,6.5,6.9,17.3,23.7,101.3
19,New York Knicks*,82,19905,38.3,86.2,.444,5.4,15.5,.351,32.9,70.7,.465,19.1,24.0,.796,10.8,35.1,45.9,21.1,7.6,4.8,16.5,25.9,101.2
20,Miami Heat*,82,19880,37.4,86.8,.430,6.6,19.2,.345,30.7,67.6,.455,19.7,26.0,.759,11.3,33.8,45.0,22.6,8.8,4.2,15.6,23.9,101.1
21,Washington Wizards,82,19680,37.3,84.9,.439,3.6,11.2,.324,33.7,73.8,.456,22.4,29.5,.759,13.4,31.2,44.6,21.7,8.3,5.0,18.3,25.2,100.6
22,Phoenix Suns*,82,19805,38.3,87.9,.436,4.3,13.7,.315,34.0,74.2,.458,19.4,25.7,.755,12.6,32.9,45.5,24.8,10.1,5.6,16.3,24.3,100.3
23,Cleveland Cavaliers,82,19830,38.3,86.7,.442,2.9,8.7,.334,35.4,77.9,.455,20.7,27.1,.765,13.5,32.4,45.8,22.7,8.5,5.8,17.9,25.3,100.3
24,New Jersey Nets,82,19730,36.8,86.8,.425,4.8,14.4,.333,32.1,72.4,.443,21.6,28.4,.759,12.0,31.0,43.0,21.2,8.6,5.4,16.0,26.3,100.0
25,Detroit Pistons,82,19855,37.2,87.8,.424,5.0,14.2,.350,32.3,73.6,.439,20.5,28.5,.721,14.1,33.5,47.6,20.8,7.8,5.7,16.6,24.9,100.0
26,Vancouver Grizzlies,82,19780,38.0,86.5,.439,4.3,12.5,.343,33.7,74.0,.455,19.3,25.0,.770,11.8,32.2,44.0,25.1,7.8,4.8,17.1,22.9,99.6
27,Atlanta Hawks,82,19730,38.0,88.2,.431,4.4,12.3,.357,33.6,75.9,.443,18.2,24.0,.759,13.6,32.9,46.5,20.6,8.4,5.1,18.1,24.6,98.7
28,Golden State Warriors,82,19780,37.9,92.5,.409,3.6,12.4,.293,34.2,80.1,.427,18.4,26.1,.706,17.3,30.8,48.1,23.1,9.6,5.3,16.8,22.3,97.8
29,Chicago Bulls,82,19855,36.8,86.8,.424,4.5,12.9,.346,32.4,73.9,.438,19.1,25.8,.739,12.5,30.6,43.1,24.5,9.1,5.1,17.5,25.7,97.2
